"Sample","S100A9","S100A8","S100A12","HMGB1","S100A12.1","Label"
"GSM3816576",17.34497999802,17.7023871272936,16.2966322192722,11.6988277794062,15.7713270214653,"septic shock"
"GSM3816577",17.3098070408904,18.6895942273387,18.0138139426404,11.8244542126702,17.5251201622416,"septic shock"
"GSM3816579",17.226225525977,18.7664180653686,18.3694270724536,12.9508217772527,18.2537099454308,"septic shock"
"GSM3816580",17.3273581615761,18.8577147819099,18.1996040122705,12.0204782336337,18.0965004222735,"septic shock"
"GSM3816581",16.6933344175084,18.3694270724536,16.649020891188,13.057192002338,15.3292729901178,"septic shock"
"GSM3816582",17.7023871272936,18.6076419152064,18.3067041262992,12.5832456809513,17.9525135083922,"septic shock"
"GSM3816585",17.1923699451205,18.6076419152064,17.7023871272936,13.0074532029199,17.0197417002335,"septic shock"
"GSM3816586",17.1484346265255,18.2537099454308,17.8039808893842,12.5553485284641,17.2420655684169,"septic shock"
"GSM3816587",17.5049628044254,18.6895942273387,18.1495809068178,12.2289093684031,17.9216564109178,"septic shock"
"GSM3816589",17.2917310562135,18.7664180653686,18.0965004222735,12.5452344743114,17.7768068593388,"septic shock"
"GSM3816590",17.4398291778528,18.4408690765849,17.5049628044254,12.161064295531,17.1923699451205,"septic shock"
"GSM3816592",17.566535235278,18.6076419152064,18.0965004222735,12.6496785655875,17.7768068593388,"septic shock"
"GSM3816593",16.8561523722169,17.3098070408904,16.3378206430941,11.6663367958727,16.0453165636597,"septic shock"
"GSM3816594",16.9809772137902,18.6895942273387,18.0138139426404,11.5121351244469,17.7272966446493,"septic shock"
"GSM3816596",17.2754822688358,18.8577147819099,18.1495809068178,12.623998231306,18.1996040122705,"septic shock"
"GSM3816597",17.6548239603428,18.2537099454308,18.0500108735279,12.9163463803013,17.7516192537561,"septic shock"
"GSM3816598",17.1484346265255,18.6076419152064,18.0965004222735,11.9136997451466,17.7023871272936,"septic shock"
"GSM3816599",17.2754822688358,18.6076419152064,18.0965004222735,12.4886919464779,18.0500108735279,"septic shock"
"GSM3816600",16.9000142622437,18.525294851778,17.5872982716757,12.3360015939925,17.1923699451205,"septic shock"
"GSM3816601",17.3641230955474,18.3694270724536,17.380594815043,11.7242753364961,16.5274774454179,"septic shock"
"GSM3816602",17.4208131466152,18.6895942273387,18.0500108735279,12.3859357544187,17.5251201622416,"septic shock"
"GSM3816603",16.9573478242884,18.525294851778,18.3067041262992,12.5397979961803,18.0965004222735,"septic shock"
"GSM3816605",17.7516192537561,18.525294851778,18.3067041262992,13.2354677936177,18.0500108735279,"septic shock"
"GSM3816606",16.6117017663598,17.8653424567078,17.1066984733587,13.1345415985808,16.3060558610606,"septic shock"
"GSM3816610",17.0437191663,18.0500108735279,17.0062037309949,11.1421561150289,16.0810315861235,"septic shock"
"GSM3816611",17.0822909444459,17.5049628044254,16.6933344175084,11.9900213623024,15.8832170178367,"septic shock"
"GSM3816613",17.0573584229909,17.8315400753786,17.0947013483972,12.0280627495988,16.6211913999869,"septic shock"
"GSM3816614",17.2420655684169,18.4408690765849,17.7768068593388,10.5740397847484,17.2917310562135,"septic shock"
"GSM3816618",17.566535235278,18.6076419152064,17.8039808893842,11.967678235676,17.0947013483972,"septic shock"
"GSM3816619",17.2754822688358,18.525294851778,17.6548239603428,11.2612502488432,15.9959315880801,"septic shock"
"GSM3816620",17.0322937175282,18.3067041262992,17.1066984733587,11.9418718797996,16.0239629479299,"septic shock"
"GSM3816621",17.5049628044254,18.3067041262992,17.6548239603428,11.7775631193819,16.8361988313976,"septic shock"
"GSM3816622",17.0197417002335,18.6076419152064,18.2537099454308,13.3225634097266,18.0138139426404,"septic shock"
"GSM3816624",16.921841101305,18.6076419152064,17.9828659071375,13.3013083398312,17.2080515762948,"septic shock"
"GSM3816625",17.5872982716757,18.3694270724536,18.0500108735279,12.2935475101594,17.7516192537561,"septic shock"
"GSM3816629",17.6338537008176,18.6895942273387,18.3067041262992,13.034261636978,18.0965004222735,"septic shock"
"GSM3816630",16.9573478242884,18.2537099454308,17.1484346265255,12.5397979961803,16.5520245877076,"septic shock"
"GSM3816631",16.7029601471342,18.3067041262992,17.566535235278,11.6830907493615,17.1923699451205,"septic shock"
"GSM3816632",17.1066984733587,18.1996040122705,17.1207911304478,12.1163527286011,16.7110740888771,"septic shock"
"GSM3816633",17.5462049186778,18.3694270724536,17.8923552422026,12.7878725783516,17.4623712985729,"septic shock"
"GSM3816634",17.5462049186778,18.6076419152064,18.0965004222735,12.5877951356592,18.0500108735279,"septic shock"
"GSM3816635",17.34497999802,18.6076419152064,18.0965004222735,13.2022544453985,17.9216564109178,"septic shock"
"GSM3816636",16.8883347152125,18.1495809068178,16.9941353784222,11.8544269374806,15.9813257920247,"septic shock"
"GSM3816637",16.9573478242884,18.6895942273387,18.0965004222735,11.6452038657803,17.7272966446493,"septic shock"
"GSM3816638",16.5778063681461,18.6076419152064,17.0947013483972,11.0849540438959,16.5691524716887,"septic shock"
