"Sample","OLFM4","NLRP3","CCR7","CRP","MAPK14","CX3CR1","ELANE","GATA3","HIF1A","HLA.DRA","HMGB1","ICAM1","IFNA2","IFNB1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LBP","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL19","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","CALCA","TNFSF10","SOCS3","CD14","Label"
"GSM1691731",11.71098547,8.415781702,9.006293996,3.548990438,11.37872403,6.34437022,6.421763688,5.264989174,10.82079856,9.461043215,6.486444891,7.506735477,2.709850349,2.432165577,3.799354317,8.419700953,3.411824163,3.773519709,5.867067915,4.325346785,10.25913095,10.75917431,3.7735128,12.15539082,12.92429913,11.80806009,11.32512696,8.115348967,5.715295797,4.541776728,8.967113544,8.906628785,11.67754763,4.779100392,6.294089214,11.93068049,11.35990205,12.69865919,3.80949902,4.879279936,3.592666589,10.77439447,10.96173411,7.29485997,9.270025666,10.11111712,8.267843323,3.882972299,11.62187708,4.455653916,11.45713695,9.735419931,9.312231923,"Sepsis"
"GSM1691736",10.56762652,8.661519548,9.977390941,3.448254448,11.55081701,7.128132767,5.864212299,5.181366424,11.01659532,10.57816327,6.597769328,8.294393632,2.290101961,2.739047568,4.284968885,9.295216911,3.475227224,5.736225432,5.125497046,5.665274524,10.36337774,9.222865684,3.293576667,9.550987222,12.73322692,11.30136842,11.16373945,9.043268578,7.006594351,4.143007697,9.942876046,9.523259268,11.97542982,4.912774227,8.041923407,11.99603958,11.59140598,12.67709387,4.125445937,4.802211674,3.527980706,11.20805163,11.1127934,6.716268227,8.317995473,9.82981383,9.237035507,3.324541889,11.60258351,3.828198744,11.63274454,9.890766368,10.08088615,"Sepsis"
"GSM1691739",6.234071748,8.146078141,9.860208413,3.69380216,10.0228434,7.447794448,5.608124866,6.632460164,10.45222954,11.47932218,7.140892669,7.873420758,2.861115694,2.228051382,3.853780199,8.240565783,3.995073421,5.825539487,3.807678836,4.712251556,9.368112569,5.839967637,3.058617608,6.25800117,6.406633366,8.276409387,10.65403123,9.696348835,7.249696194,3.933062641,9.884994398,10.10123485,5.210980695,4.146468985,8.596590345,10.07626412,10.03748931,10.67219893,4.581135126,4.588782812,3.187799839,9.947542799,9.72161985,6.739473636,8.886624333,10.01198888,8.827896371,3.096102806,9.051031287,2.803198803,11.19436336,6.667510871,9.473382015,"Healthy"
"GSM1691740",7.954680217,7.995411966,9.638646024,3.73822923,9.967194508,7.158644314,7.386590442,6.425689573,10.50468032,11.47560541,7.107552341,7.907823708,2.26816029,2.314040322,4.033236078,8.597124087,3.274460176,6.821082224,3.996094566,4.35025573,9.292346829,6.294477711,3.293576667,8.548525083,9.639723202,9.11686148,10.71643529,9.832541652,7.366296236,4.221224729,9.931154349,10.44939891,4.705954745,4.768111437,8.182635711,11.22643341,10.45401634,11.5803857,4.423533718,4.681900806,3.145022138,10.07970667,10.3017608,6.897651824,7.917341369,10.25467121,8.714788544,3.36991172,8.961097208,3.326502608,11.54947144,6.735099087,10.13607568,"Healthy"
"GSM1691741",3.856695835,7.9464673,10.55105377,3.722527143,10.07430231,7.64360806,5.637483586,6.670876261,10.09804286,11.18558535,6.845138496,7.674874092,2.596077129,2.300864762,4.219749277,8.266095466,3.785363372,5.358342636,3.584759196,4.411654605,9.20559378,5.289661718,3.079052352,5.869957163,5.375835203,8.642611035,10.95908443,9.299402438,7.566364182,4.6034701,9.933613343,10.00664911,6.055560775,4.516983035,8.658658041,10.14050225,9.786529646,10.52882627,4.66902723,4.297341381,3.431754708,10.0598889,9.882129205,7.230040624,8.017826997,9.536230356,8.701074166,3.442982123,8.516220512,3.73731648,11.32315842,6.226254328,9.906734751,"Healthy"
"GSM1691742",4.482059023,8.205998409,10.55125478,3.479828124,10.08688648,7.110936946,4.78179978,6.9145447,10.2653496,11.34883937,6.876468549,7.357528688,2.475201962,2.670441081,3.867024207,8.003132704,3.773451664,5.276983138,3.647879166,4.870631368,9.049979418,5.688649032,3.163339404,6.304684973,5.976754325,8.338079131,10.77672614,9.555553348,7.127836143,4.563860308,9.849753437,10.0519503,4.880605573,3.3966185,8.663764617,10.0574087,9.687961962,10.48806295,3.928348725,4.191203258,3.191597083,9.660156832,9.978481942,6.500379963,8.475363247,9.892812496,8.6970603,3.364354929,8.176644835,2.988474593,11.19891412,6.543061136,9.773882567,"Healthy"
"GSM1691743",5.565238564,8.011255046,10.16046565,3.585211131,10.03352236,7.506965935,5.584206068,6.650158486,10.16462749,11.40213619,7.091514844,7.360930811,2.980671481,2.514290119,4.658423204,7.687035556,3.366631672,5.908077525,3.856724408,4.315092612,9.486752242,5.623115682,3.132380284,6.448960902,6.666105548,8.787366109,10.5106984,9.223541082,7.149438233,4.47812423,9.582697107,9.291176335,5.276644301,4.302408622,8.792255608,10.55840611,10.14283189,11.23993578,3.468969218,4.500538764,3.299644914,10.30619331,9.937286502,6.627345923,7.190687379,9.768612176,8.904328584,3.249712923,9.005879771,2.975517353,11.26225375,6.449819134,9.774275619,"Healthy"
"GSM1691744",4.420248718,8.237739877,10.20191687,3.586112032,10.33200101,7.0937888,4.965243504,6.440464769,10.54597387,11.30384059,6.797525395,7.786692625,2.270012319,2.278052035,3.648929187,9.154508491,3.182837833,5.516926572,3.47876935,4.21143026,9.671910292,5.570149682,3.025918922,6.160880175,6.217846788,9.329289605,10.85085395,9.83648715,7.238520367,4.514469536,10.16295638,10.48085664,6.855277654,4.480305937,8.45103756,10.53336857,10.31595466,10.86530624,4.011472646,4.319521564,3.282859861,10.03300422,10.3423733,6.639604621,8.199525549,10.27358652,8.559420083,3.463227448,9.278388402,3.234790154,11.40137803,7.25534193,9.74912016,"Healthy"
"GSM1691745",5.315130405,7.771784834,9.821646133,3.57410394,10.00471563,7.715426171,5.144795166,7.05012987,10.23816478,11.06166161,6.851504967,7.463476157,2.824849368,2.423125352,4.659534274,8.782792984,3.228659937,5.617056108,2.944625732,4.836003571,9.484109084,6.327774401,3.258022133,5.890124865,6.217063115,9.07904334,10.78140523,9.563703057,7.131716233,4.325688282,9.660956622,10.1585211,6.551837593,4.481795542,7.96341147,11.12928418,10.15676962,11.09675551,3.673981037,4.748307104,3.187625763,9.982162314,10.20141459,6.89240828,8.676962422,10.06147237,8.474940678,3.42235132,8.929697126,3.98375966,11.49063267,7.237157261,9.495400295,"Healthy"
"GSM1691746",3.874649379,7.753086433,10.07213542,3.546452787,10.48294149,7.07199971,4.717027738,6.324856755,10.4892605,11.0846151,7.263151853,7.66916204,2.276114137,2.475581877,4.253359612,8.103245221,3.470628777,6.423140899,3.515540227,4.316691795,9.474231369,5.343467698,3.047239838,5.447169099,5.8017117,9.073851257,10.90769696,9.874564851,6.950549262,4.80414046,10.10548676,10.24853326,4.842706177,4.641750883,8.683141373,10.03166895,9.794327775,9.715559835,4.348547442,4.639481416,3.02297447,10.36990165,10.31358648,6.698813594,8.761729133,10.21721215,8.831145634,3.174375075,8.971595991,3.404481964,11.59557292,6.823641138,9.837948331,"Healthy"
