"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","BCL2","BCL2.1","IL1R2","GATA3","GATA3.1","IL10","BCL2.2","BCL2.3","MAPK14.1","MAPK14.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","MAPK14.4","HIF1A.7","GATA3.2","MAPK14.5","Label"
"GSM1602950",9.719194717,9.278347426,5.341579994,6.767938604,2.475817437,6.213209631,4.238201979,9.337988543,3.426071538,3.462124334,10.68455676,5.674368639,2.964492139,2.351718894,2.289143212,2.586472507,6.735487287,6.438922818,4.276399796,5.013859434,5.778031131,5.584666165,7.299681084,7.083840047,7.007231084,5.598132358,6.950269955,3.166392337,9.077463922,"Sepsis"
"GSM1602952",9.172411037,9.266141067,4.905699979,6.543315995,2.672437526,5.904615403,4.039151268,9.009353927,3.07125554,2.863753908,9.794813139,4.330383049,2.512413985,2.040443521,3.012180781,2.363360219,7.148517191,6.5988028,3.433782626,4.743182852,5.67107342,5.346268169,7.490672436,6.733910215,6.817531897,5.61892053,6.655066981,2.517369122,8.981506061,"Sepsis"
"GSM1602953",8.773531459,8.135847525,4.149596804,4.183300265,2.555266661,5.501414993,3.323376308,7.472772353,4.677693648,4.195262264,8.995460581,4.577427143,2.847515427,2.8008103,2.842054318,3.712124609,4.639850693,3.730220851,2.873308048,3.669716567,4.169196125,4.171157107,6.279710142,5.164953628,5.627570772,4.782285808,5.220606412,3.157765441,7.504417015,"Sepsis"
"GSM1602954",8.406775371,8.63310233,4.803959731,5.573473828,2.397835411,3.883197748,4.018144996,8.659147095,4.340850987,4.418341525,6.877027023,5.416204096,3.387087799,2.049307622,2.466375619,2.232871835,5.831888448,4.31640738,4.12138597,4.511166936,5.12241833,4.671160698,5.743669507,5.330264786,6.09250151,4.302622885,5.80260647,3.381852916,7.723994347,"healthy"
"GSM1602956",8.354623268,8.018837455,4.24944653,4.272167775,2.380213736,3.708466673,3.57592064,8.793036869,4.100099214,4.433618073,6.349739793,6.151110592,3.325829239,2.311377307,2.692728436,2.51599928,5.856447386,4.84148874,4.306409247,4.005529368,4.639009573,4.069702954,6.181944613,4.958721877,5.522339253,4.678566193,5.136340889,3.592605282,7.517038955,"healthy"
"GSM1602957",8.292912768,8.400030678,4.11112101,5.450956556,2.624171542,3.511862627,3.730348261,8.666056726,4.511882979,4.601913534,7.623606075,6.178043711,4.39263697,2.217802317,2.266957826,2.107050461,4.92530214,4.696828687,3.241140686,4.459849756,4.912512471,4.502650459,5.687229501,5.668740815,5.707251814,3.843842374,5.683549163,3.308166371,7.668126157,"healthy"
"GSM1602958",9.686245303,9.59945456,5.596760404,7.243619327,3.431614997,8.390778678,4.558851306,8.551123549,3.322231795,3.283249534,11.85321583,4.904516805,2.557263227,3.13745982,2.613499324,2.260212883,7.055342655,7.969070645,3.602846295,4.971508678,6.570351078,6.557834392,8.856201627,7.60141999,7.522779316,6.948421083,7.417774516,2.870073371,9.04029722,"Sepsis"
"GSM1602960",8.61230349,9.015548119,4.762783893,6.013542602,2.376455814,4.94672729,3.548602573,8.686942576,6.22921952,5.62440416,6.964556939,6.4204443,4.354716491,2.040110911,2.612145936,2.316714531,5.50844894,4.636609395,3.464568897,4.302001466,5.296011592,5.42897118,6.095398229,6.162549468,6.18027522,4.374408291,6.166251785,3.358821679,7.940133204,"healthy"
"GSM1602961",8.386235955,9.03240153,5.557831862,6.573920382,2.403400278,4.808804503,3.352113286,8.731437204,5.880778091,5.855764176,6.872460294,6.151740104,4.584402546,1.831795729,2.300273461,2.096655808,5.093719867,4.520752781,3.765191224,4.084427041,5.819945392,5.220269188,6.153414685,6.605607168,6.926471212,4.726819433,6.670549253,4.115405268,7.509506163,"healthy"
"GSM1602962",7.641354238,8.441162954,4.362921882,5.333427071,2.466435348,2.626480217,3.34640037,8.066917848,5.722721062,5.757851769,6.865875985,7.049497954,5.133472029,2.257623048,2.409214333,2.675035777,4.983953573,4.154160039,3.207801065,3.636646282,5.076391847,4.434824109,4.843647488,5.644811766,5.418506498,3.51195823,5.702800087,3.294773638,7.137867042,"healthy"
"GSM1602963",8.352109439,8.985074942,5.204945972,6.364094373,2.163253153,3.392142937,3.761899105,8.399498495,6.225838252,6.033254497,7.124555335,6.142466565,4.442882467,1.955813639,2.466681098,2.426857457,5.43766575,4.799504023,3.931062505,4.377506229,5.536177643,5.300866516,5.714739611,6.329263762,6.661701919,4.227690713,6.397831704,3.524824166,7.477493197,"healthy"
