"Sample","S100A12","HMGB1","HMGB1.1","HMGB1.2","S100A8","HMGB1.3","HMGB1.4","HMGB1.5","HMGB1.6","Label"
"GSM1602947",12.55376479,6.036102427,6.984391629,8.11535876,13.36808464,8.411356779,8.201167209,8.362382665,4.27083862,"Sepsis"
"GSM1602948",9.097755632,6.064907607,7.514458611,8.553722775,12.00886032,8.99240844,8.768196573,8.856411346,4.828185873,"healthy"
"GSM1602950",10.19516179,3.498337488,4.361590296,7.163582261,12.311204,6.583691967,7.151417988,6.659499221,2.832828672,"Sepsis"
"GSM1602952",11.45333399,4.704636872,6.056692683,7.918926937,12.91721561,7.85974305,7.979690926,7.745157159,2.826142392,"Sepsis"
"GSM1602953",11.92303527,4.742937807,6.989258842,7.388611164,12.93114648,7.986071831,7.887405584,7.890115053,2.846390066,"Sepsis"
"GSM1602954",9.429063643,4.228094959,5.902787899,7.739502039,11.2245834,7.317678012,7.95871689,7.273572283,3.786116131,"healthy"
"GSM1602956",8.312549214,3.380289296,5.073909376,7.898381591,11.02787229,6.93790389,7.600193393,7.116247936,3.12242987,"healthy"
"GSM1602957",9.509108241,3.655047344,6.180346934,7.94389734,11.36170643,7.503317921,8.134724563,7.20908967,3.615210231,"healthy"
"GSM1602958",12.5212193,5.989392638,7.726372476,8.602997501,13.18452388,8.591268007,8.513015725,8.644504765,4.476438101,"Sepsis"
"GSM1602960",8.504886835,5.175842619,6.468781834,7.562255818,11.20898249,7.909682714,7.633991639,7.948448745,4.457809238,"healthy"
"GSM1602961",7.509859079,4.54792744,6.334809946,7.518219191,10.86665488,7.479356303,7.905644741,7.541955806,4.07722462,"healthy"
"GSM1602962",7.639702326,4.762490383,6.266923423,7.570232079,10.7309928,7.676965088,7.915198192,7.554758918,3.3505194,"healthy"
"GSM1602963",7.282189379,5.062005268,6.422837829,7.773752592,11.0562146,8.014399615,8.115184568,7.784503782,4.490487801,"healthy"
"GSM1602964",8.967252046,4.739156397,6.703611856,7.416695122,11.21409676,7.867914713,7.793051058,7.603023977,3.270481186,"healthy"
"GSM1602966",10.35988902,5.718545516,7.666522397,8.241001444,11.9827349,9.171507948,8.529575879,8.870942895,4.938534064,"healthy"
"GSM1602968",12.36779,5.743443821,7.398598181,8.257478504,13.15254296,8.873471365,8.708124564,9.018774793,3.5192918,"Sepsis"
"GSM1602969",7.678129024,4.619837192,6.141793655,7.286426782,10.35426087,7.547062017,7.730464714,7.389247945,4.064768959,"healthy"
"GSM1602973",10.31566864,3.543929932,5.603072225,7.210385927,12.080136,7.474985513,7.792366071,7.548530576,2.534693877,"Sepsis"
"GSM1602974",12.1317992,3.037941461,5.189445497,6.742074823,12.95166752,6.939015078,7.475360875,7.244590929,2.104118432,"Sepsis"
"GSM1602975",12.25787512,5.640271607,7.26697908,7.760280491,13.01820011,8.307132415,7.934550593,8.226184505,3.134503581,"Sepsis"
"GSM1602976",12.62112452,4.307655646,6.795763187,7.6010091,13.1321535,8.137836577,7.976050964,8.169042416,3.028165533,"Sepsis"
"GSM1691861",12.50936713,4.707647227,7.057864708,7.779017312,13.22147787,8.050898451,7.980860229,7.858165039,2.625835149,"Sepsis"
"GSM1691863",12.57796719,3.761971939,5.957219109,8.020431422,12.93576549,7.061728886,7.677430753,7.197356239,2.694961745,"Sepsis"
"GSM1691864",11.62877199,4.141483287,5.825791464,7.625784589,12.82496325,7.117046433,7.853290763,7.190708694,3.031869092,"Sepsis"
"GSM1691865",12.69120166,4.04680589,5.982717793,7.462124178,13.12381258,6.962128974,7.524672227,7.048990655,2.481985149,"Sepsis"
"GSM1691866",12.08573423,3.377244762,5.688891356,7.086383189,12.79194928,6.907707881,7.366946685,7.020077926,2.118044004,"Sepsis"
"GSM1691867",11.56614365,5.227280306,7.093995846,7.852092732,12.88060792,8.353728972,7.968131507,8.312111926,2.817980411,"Sepsis"
"GSM1691868",11.57873576,4.176108239,6.317061591,7.594849526,12.74568537,7.916946642,7.919973891,7.749995607,3.011709033,"Sepsis"
"GSM1691874",10.45109623,4.432519952,5.929913838,7.15524923,12.44796083,7.184167193,7.307800071,7.012880362,4.161162528,"Sepsis"
"GSM1691882",12.53761049,5.395546094,6.514258397,7.777007178,13.18447196,7.437959115,7.406581836,7.560708601,4.017118506,"Sepsis"
"GSM1691893",10.13120565,4.785015689,6.175621911,7.445198175,11.63708217,7.936900793,7.81147054,7.818992925,2.528801146,"Sepsis"
"GSM1691895",12.27258033,3.303807468,4.654470759,7.232642918,12.89172881,6.397388129,7.666401948,6.8397563,2.293644642,"Sepsis"
"GSM1691896",12.42377412,2.264876614,4.325837041,6.994509136,12.94246208,6.096259069,7.650352804,6.920331287,2.630763409,"Sepsis"
"GSM1691900",12.16574936,3.649430371,3.287342495,7.574356955,12.97674502,6.212409259,7.831000511,6.643808328,2.302245721,"Sepsis"
"GSM1691911",12.33849468,4.162174453,5.559466854,7.727455308,13.11510001,7.282141449,8.04899192,7.359489841,2.426964916,"Sepsis"
"GSM1691915",12.43741324,3.038649749,4.432965621,7.128240696,12.76603567,6.293740858,7.432792009,6.228247963,2.551891075,"Sepsis"
"GSM1691922",12.30899318,3.402075047,6.35562697,7.450867495,13.0034419,7.647600238,7.927147047,7.647475805,2.76999785,"Sepsis"
"GSM1691923",11.28145902,5.769991464,7.186971545,8.413198271,12.82664442,8.913053268,8.890436829,8.735629852,4.206654841,"Sepsis"
"GSM1691928",12.16467323,4.826841411,6.082081971,8.217684797,13.01400007,7.583293161,8.193885593,7.63565528,2.916758699,"Sepsis"
"GSM1691935",12.31577231,3.80893163,6.130683004,7.574082416,13.00363461,7.57980771,7.696691315,7.275135987,3.034296098,"Sepsis"
"GSM1691944",10.83684575,4.747353276,5.600440686,6.868059102,12.2892585,7.287854682,7.73909051,7.150374927,2.335015136,"Sepsis"
"GSM1691965",12.24057702,4.385332625,5.950000588,7.372116504,13.01165498,7.398759081,7.608465285,7.436596292,3.048761583,"Sepsis"
"GSM1691977",10.73291882,3.712587548,5.119991989,6.913957254,12.56158359,6.906522637,7.140581424,6.823348597,2.649200901,"Sepsis"
"GSM1691981",12.29080176,5.125124312,6.8309583,7.801207353,13.13656228,7.97290205,8.032184123,8.194272972,3.544792009,"Sepsis"
"GSM1691984",11.40305295,4.010360875,5.432735024,6.615191578,12.49872899,6.826023986,7.196680631,6.940375407,3.050329131,"Sepsis"
"GSM1691987",12.70530627,5.242556552,7.013925434,8.517392218,13.3597323,8.389683081,8.46871603,8.413995389,3.583795685,"Sepsis"
"GSM1692005",10.10953045,3.398643422,4.178110854,6.923805856,11.88337976,6.618466928,7.063981456,6.500078602,2.715398628,"Sepsis"
"GSM1692007",12.44941612,6.172213152,7.507889756,8.110560112,13.00882288,8.625792064,8.316024497,8.585539171,4.574090087,"Sepsis"
"GSM1692009",12.32919059,4.64383977,6.492657958,8.432234961,13.05396301,7.926038537,8.512563269,7.914914171,2.838840212,"Sepsis"
"GSM1692019",12.0845357,3.612418715,4.667071904,6.526970239,12.84733796,6.603146446,7.032281066,6.872875865,2.533295779,"Sepsis"
"GSM1692029",12.56620025,5.885472662,7.435691188,8.538316754,13.12186409,8.888440718,8.716255598,8.926797445,2.739657,"Sepsis"
"GSM1692035",12.05131551,3.176609039,4.868182743,7.355927994,12.86270168,6.338336496,7.680010172,6.055894132,3.042054276,"Sepsis"
"GSM1692040",12.05842681,5.574968241,7.09738676,8.335953763,13.0842983,8.51325018,8.46078477,8.504801886,3.577699152,"Sepsis"
"GSM1692045",12.29243802,5.322233399,6.997890221,7.422982042,13.14165035,8.03505346,7.87381262,8.031230871,2.982457218,"Sepsis"
"GSM1692061",12.28975772,3.082864381,4.634322705,7.391301876,12.68565693,6.006938874,7.628022787,6.341703118,2.152567167,"Sepsis"
