"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","C3AR1","BCL2","BCL2.1","S100A12","IL1R2","GATA3","GATA3.1","CD177","CD177.1","ITGAM","ITGAM.1","ITGAM.2","IL10","FCGR1A","FCGR1A.1","BCL2.2","BCL2.3","HMGB1","HMGB1.1","MAPK14.1","MAPK14.2","HMGB1.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","S100A8","MAPK14.4","ARG1","HMGB1.3","HIF1A.7","HMGB1.4","GATA3.2","HMGB1.5","MAPK14.5","HMGB1.6","FCGR1A.2","FCGR1A.3","Label"
"GSM1602816",9.525398878,8.427364442,4.594048657,5.59088314,2.780592564,6.602653862,4.151427527,9.083599546,9.561137945,3.029051233,2.887382552,11.66874833,10.93733237,4.795704909,2.414662649,6.518584245,8.216910843,7.051602977,9.21571438,6.725078156,2.583426011,8.63252426,4.250283831,2.534745279,2.529736546,4.479867726,4.550117224,7.062650068,7.129727353,7.855843395,3.868304792,4.926898904,4.764007663,4.703461777,8.540189594,5.636828327,6.146224154,12.77785843,6.790336217,8.454404023,6.692891583,5.998543528,7.916624904,2.646102764,6.954136781,8.943034097,2.5753852,2.829822434,2.498459499,"Sepsis"
"GSM1602818",8.977361539,8.642721458,3.071422248,4.945060682,2.740614442,5.956955948,3.216051354,8.024717105,8.56471953,2.716878911,3.159940769,12.45897636,11.47875902,3.3741425,2.360823738,8.514840966,9.726588947,7.091552956,9.02210131,6.227639693,2.661243904,8.060410853,3.409518777,3.311488846,3.054623139,4.59169061,6.10590916,5.990668325,6.369035587,7.271525306,2.965601273,4.498359251,3.576315782,5.036521268,8.256082911,6.126507113,5.978430939,13.26086955,6.043264754,9.582343501,7.957367039,5.753535188,7.877701318,2.688356327,7.827462321,7.880290189,2.546495269,2.845052191,2.293007933,"Sepsis"
"GSM1602819",10.33241488,8.937706444,5.280699997,6.260952963,2.43941125,7.69607558,4.132032691,9.328850462,8.985193758,2.416743469,2.315304207,12.75438508,12.4324163,3.556290228,2.36784528,8.259074208,9.623250904,8.558461609,10.38395445,7.507298906,2.854849095,10.67696932,6.900547276,2.454849135,2.263622184,3.850445848,5.986829496,8.020915209,7.93211217,8.459875965,4.118498792,4.580406143,5.922036791,5.623108532,8.97326086,5.934128896,6.728358655,13.38889001,7.343660356,9.78983711,7.467152588,6.639401496,8.268493826,2.637228983,7.815368798,9.892614683,2.85421377,3.18919437,3.692096072,"Sepsis"
"GSM1602820",9.592383846,8.638928925,4.14266641,5.693149219,2.818792198,6.220865638,4.451688474,8.955219289,8.719470846,2.783972534,2.582693114,11.7841313,10.01553153,3.824735713,2.584911566,6.729314106,7.410737506,7.937526746,9.479419313,6.928153608,2.574479932,9.329161822,3.852282117,2.950741351,2.552736163,3.531374083,6.002143422,7.081524402,7.158786788,7.582622456,4.036640804,5.174974899,5.102773251,5.118220226,8.20157542,5.917522961,6.39973492,12.68059221,6.510600999,6.774315085,7.164248375,6.047784403,7.56095748,2.433925482,7.292564355,9.060409384,2.358310104,2.608956028,2.697018724,"Sepsis"
"GSM1602823",8.696063424,7.356588357,4.505383713,4.26566854,2.544169893,6.104240857,3.551981209,9.04850669,9.670681896,2.46584308,2.85467383,12.14118785,12.42944466,3.80922654,2.180142865,9.364970016,10.50929559,8.270608547,9.725213235,7.687454329,2.725010548,9.287373228,3.946952104,2.704975445,2.162643805,2.375015757,3.216637044,7.097146461,7.118166406,6.89814076,3.538674753,4.666655996,3.770365316,3.705309098,8.349882657,4.900638294,4.601030394,12.42635844,6.359879376,8.893827086,4.885297187,4.591061048,6.805359704,2.372334512,5.548879049,9.050001701,2.506976178,2.584766532,2.541542891,"Sepsis"
"GSM1602824",8.950085941,9.981375081,5.943595003,7.384056033,2.858873116,6.872704465,3.437424785,8.093199225,8.73249528,2.687487794,2.632060942,11.47262545,7.706768045,4.405899221,2.321856784,6.886434073,8.632330275,8.314459196,9.716891952,6.746793634,2.926563555,8.163410167,3.510812524,2.468103995,2.416776198,4.365865411,6.712656726,5.796414022,5.979725209,7.516276521,3.947611381,4.173275117,6.707319459,6.337525756,6.717581101,7.831551031,7.671795941,12.86601817,5.105474435,9.280186749,7.479771782,7.708624646,7.91703309,3.336989643,7.82180366,8.558334142,4.13818524,2.505817072,2.733768809,"Sepsis"
"GSM1602825",9.287329106,9.421972261,5.200508939,6.183150191,2.205522319,4.058196678,3.982729375,9.07785377,9.769352143,2.740324528,3.097243309,11.02928821,9.454688323,4.107790197,2.256007804,5.583221088,7.574284977,8.029287942,9.660215495,6.61434155,2.535930259,8.22305921,3.099558083,2.274864412,2.160606409,5.374166278,6.956799472,6.35303926,6.208892033,7.998193838,4.367478119,4.450008859,5.882790644,5.928035798,7.252545217,6.644876207,6.738468854,12.74981905,5.452085139,9.440539132,8.312610856,6.929068241,8.039996726,2.671511946,8.20537682,8.65485437,3.308792547,2.318908077,2.437888612,"Sepsis"
"GSM1602826",10.2776331,9.035780439,5.281341951,6.263888532,2.458294786,7.1352165,4.801432931,9.575713663,7.992009488,2.872609331,2.734378066,12.61642253,12.4852794,3.854167151,2.104827485,10.51920734,11.28826526,8.914772732,10.40186496,7.933200339,3.032669634,9.880287414,5.45478675,2.579501764,2.285632827,3.044414345,4.610067168,7.703886489,7.941499065,7.581763518,4.817878684,5.034116457,5.544750778,5.504946904,8.959376072,6.661562838,6.520289812,13.08325643,7.143911796,9.769802959,6.679031091,6.524606447,7.359978807,2.272610816,6.914487887,9.618080525,2.45530981,2.898598349,2.719901187,"Sepsis"
"GSM1602827",9.226764293,9.15342477,4.27176525,5.947372026,2.869385477,5.785280168,4.656195761,9.102302886,9.528019416,2.591552949,2.967382677,11.30007528,9.251590334,3.410140947,2.260598723,6.008782742,7.335954342,8.051629709,9.55943871,6.307100175,2.574216416,8.829670551,4.071888297,2.253689857,2.48209184,4.759394804,6.643841087,6.306829307,6.133820165,7.464846385,4.648859955,5.423496486,5.028405154,5.380120892,7.67187747,6.472917485,6.696101965,12.71900469,5.830402372,8.450917495,7.909977214,6.473210811,7.792841393,2.899285429,7.699919065,8.048051341,2.70314902,2.545073016,2.96604415,"Sepsis"
"GSM1602829",10.61720928,9.827404503,5.739909582,6.979969926,3.066783841,8.23020793,4.662278212,9.365194772,8.9334233,2.208002968,2.348257391,12.67825065,12.26481503,3.785149947,2.63821825,9.370624733,10.89116651,8.978213901,10.54119703,7.577025199,3.211737626,10.15706083,6.328460305,2.156033085,2.252490795,5.157625498,7.026344819,7.914579337,7.284227315,8.151277187,4.467566653,5.243486718,6.176065116,6.18338967,8.276801775,7.511664436,7.583727692,13.31587565,6.561940733,9.34288687,8.203378593,7.032419887,8.244401725,2.483252167,8.459096087,9.762150959,2.672814062,3.903882355,4.143936345,"Sepsis"
