"Sample","C3AR1","CD177","CD177.1","ITGAM","ITGAM.1","ITGAM.2","FCGR1A","FCGR1A.1","ARG1","FCGR1A.2","FCGR1A.3","Label"
"GSM1692192",9.273362455,9.277784239,10.19219424,8.844785236,10.54033943,7.325040638,10.34448359,7.013234517,9.66881088,2.945812453,4.356908138,"Sepsis"
"GSM1692199",9.003160567,8.522947815,9.323648549,9.173060009,10.70364791,7.732740426,9.599229376,5.590836251,8.172332006,3.28603269,3.146002211,"Sepsis"
"GSM1692203",9.039709374,8.423039319,9.993982805,8.295433318,9.917957679,6.997058724,9.192874112,5.286232166,10.19439169,2.628613137,2.799467015,"Sepsis"
"GSM1692204",7.632916025,7.127306619,9.170319426,8.536671474,10.01717734,7.375446281,9.949497288,5.607211128,7.32633011,3.384539227,2.92170606,"Sepsis"
"GSM1692216",6.435618969,6.565235246,6.963408578,8.495807441,10.05199153,6.93747934,9.545321278,4.61765306,7.034168851,2.689953859,2.549273688,"Sepsis"
"GSM1692223",10.76922015,8.696320416,10.14656761,8.467095057,10.0355084,7.319514366,9.541960758,5.340799034,9.06413225,2.817161554,2.663081803,"Sepsis"
"GSM1692245",8.90514536,6.955820798,7.127132832,8.250165041,9.783760361,7.071518234,10.42853863,6.523095618,5.689278616,3.40590758,3.149651859,"Sepsis"
"GSM1692250",3.55685947,2.503716319,3.378753125,2.470830174,4.40655511,3.884009218,4.640679581,2.312754881,3.741147816,2.454386032,2.382835961,"Sepsis"
"GSM1692251",7.945797077,7.565486051,8.179873065,8.000976849,9.62332482,6.955227501,8.667214809,2.812310882,8.439669165,2.267082617,2.513719792,"Sepsis"
"GSM1692258",8.395654976,7.236430575,8.288964385,8.250725059,10.00194055,6.309996682,9.374465656,5.981461372,7.910074906,3.357004516,3.010015736,"Sepsis"
"GSM1692259",10.24032001,7.872801133,9.93708278,8.949265051,10.52210581,7.696172611,10.4988687,6.569960174,8.492570257,3.341744187,3.257337204,"Sepsis"
"GSM1692266",9.397506902,5.265009782,6.448815884,7.905611084,9.519097408,6.48830015,10.38441229,7.077011055,8.480081656,3.239110679,2.934799571,"Sepsis"
"GSM1692268",9.595428724,10.20258755,10.99732289,8.67290377,10.24239577,7.286052599,7.941785791,2.668322189,9.595543547,2.610483438,2.341445603,"Sepsis"
"GSM1692272",9.167814171,4.375831581,5.610237463,7.63611039,9.543307252,6.643014605,11.00213786,7.966653971,7.200894708,4.178069626,2.977078542,"Sepsis"
"GSM1692311",8.413265542,5.727529574,6.233662775,7.799150735,9.599329729,7.016344977,7.561574962,2.74648319,9.407037743,2.280879874,2.084764488,"Sepsis"
"GSM1692326",8.038338088,7.918717314,9.467007744,8.251331105,10.02917076,7.032649527,10.41657876,6.789892543,7.055082935,3.426003765,2.890987919,"Sepsis"
"GSM1692334",9.436545068,6.36284845,7.52636183,8.483483162,10.07731568,7.280067618,8.705847114,5.083783936,6.901256029,2.928947903,2.751761116,"Sepsis"
"GSM1692335",8.562990848,7.015276266,7.868277679,6.621728643,8.850281752,5.567328725,7.37802493,2.926494989,6.824993207,2.33722165,2.501610324,"Sepsis"
"GSM1692352",9.483174382,2.397437933,3.354757306,7.245939092,8.962659209,5.847754004,9.036998634,4.618017034,6.712220987,2.620405455,2.618758802,"Sepsis"
"GSM1692366",10.46005524,8.036392335,8.526590727,7.545272685,9.573377232,6.953876159,10.34157159,5.907526506,8.937871504,2.817222963,2.650250603,"Sepsis"
"GSM1692383",7.932090338,8.09251414,9.77918516,8.544792847,10.02905779,6.849707673,8.90109681,4.799533057,9.304700462,2.733398455,2.942083225,"Sepsis"
"GSM1692386",9.707966413,9.202873401,10.17572631,8.521019562,10.01730768,7.437633816,9.232712803,4.996506253,9.292808264,3.159234022,2.69360312,"Sepsis"
"GSM1692387",8.981615635,9.14180466,10.51310765,8.565071438,9.978053467,6.975112554,9.165700733,5.282976106,9.863269667,2.866054139,2.993495669,"Sepsis"
"GSM1692392",8.868705138,8.568210278,9.675425955,8.811948443,10.23546764,7.406910995,8.927304331,4.652889301,8.815224421,2.720129145,2.523864392,"Sepsis"
"GSM1692399",8.471486068,7.782842781,8.837483392,8.18948104,9.730852445,6.825824055,7.475910508,3.314791921,10.30943375,2.30343715,2.417807819,"Sepsis"
"GSM1692410",8.018878809,5.116578651,6.323435051,7.144279114,8.788468585,6.012384396,7.589398192,2.210465582,8.358029649,2.393223815,2.369603047,"Sepsis"
"GSM1692413",9.47727331,7.182292825,9.0392778,8.643050875,10.45026954,7.14592207,11.10783508,7.595603488,6.735169376,2.837179572,3.052077522,"Sepsis"
"GSM1692420",7.697341741,3.760853994,4.893433265,6.987984328,9.530696366,6.401894635,7.898161619,3.605274468,7.593368397,2.312124204,2.380376736,"Sepsis"
"GSM1692427",8.887004302,6.766556966,8.121538305,7.574681702,9.486344431,6.349668359,7.825026122,3.193883782,7.918242555,2.226378096,2.457599035,"Sepsis"
"GSM1692429",7.901379062,6.763710575,7.81476105,8.605240847,10.05154283,6.979649836,9.34923555,5.583240702,7.345772302,3.603838412,2.932704245,"Sepsis"
"GSM1692430",7.820884652,7.500509949,8.226952491,7.739443009,9.2585998,6.71819874,8.303958552,3.603803077,9.148122403,2.338865626,2.156814605,"Sepsis"
"GSM1692443",9.978902089,10.58894675,11.45548098,9.103691767,10.63220687,7.815978521,10.04422217,6.120791542,8.565299046,3.008463786,3.304971661,"Sepsis"
"GSM1692452",9.138945234,8.802736222,10.04044884,8.361354881,9.84377173,7.460472648,8.564693419,3.306884249,8.873225471,2.478832641,2.428262196,"Sepsis"
"GSM1692455",9.518735899,3.496356466,4.470101486,8.301760641,10.00196947,7.286665502,8.390390104,4.633478255,7.597705921,2.618472113,2.427634376,"Sepsis"
"GSM1692482",9.003111411,6.779264811,7.727107702,8.333564044,10.18889221,7.475432306,10.06676371,6.155333738,9.214416461,2.849547314,3.422125372,"Sepsis"
"GSM1692485",8.705809146,7.085129366,8.004948847,8.89628485,10.42130672,7.684393378,10.09929938,6.538931861,8.941856628,3.607361663,3.537264946,"Sepsis"
"GSM1692487",9.22374374,5.560279349,8.439827399,7.555699486,9.573175422,6.908359375,9.143824705,5.323304452,8.737393486,2.903952093,2.846818064,"Sepsis"
"GSM1692489",8.668807122,4.029988723,5.290220816,8.0625733,9.902363764,6.370523515,10.0543172,6.175194844,4.357555475,3.089744342,2.863355123,"Sepsis"
"GSM1692492",7.543688739,3.128167232,5.051510615,7.364070097,9.146819888,6.010996804,8.803360808,3.720504683,6.073035445,2.272050767,2.511459104,"Sepsis"
"GSM1692498",6.968044531,4.036380545,3.552845686,6.097159384,8.194095135,5.054912758,6.708251368,2.542334554,5.76303368,2.378401465,2.557093938,"Sepsis"
