"Sample","IL8","CCR2","IL10","HIF1A","ITGAM","TREM1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IL6","CALCA","TLR4","ELA2","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","CCL19","CCR2.1","IL1R2.1","TLR2","CD177","CCR2.2","IL1B","CCR2.3","SOCS3","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2","TNFSF10","PDCD1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA-DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.1","IL1R2.2","CCR2.4","NLRP3.2","VCAM1","PLAUR.1","CCR2.5","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM1317933",7.295015335,7.705445766,7.103271008,7.264071465,9.552453995,7.339521408,10.99947929,10.1976757,8.0143013,13.12164688,7.236651897,7.046870232,6.983325481,7.731580257,12.50709248,8.028213501,10.14789295,7.192984581,7.313090324,7.842029095,9.067267418,14.5812521,8.178814888,7.481301785,7.243399143,9.711331367,11.89231968,7.605391979,12.26234245,14.75221539,7.751886845,7.151258945,7.777818203,7.274425983,7.091526508,9.305599213,8.199634552,7.403903961,7.359943867,9.780433655,8.843027115,7.532214642,7.330234051,7.461904049,7.70676136,7.210605145,7.269529343,11.41880035,7.954515457,9.257592201,7.195388794,7.361038685,8.855220795,11.47144318,10.68416023,12.07038212,7.408931255,11.96833324,8.033958435,8.042457581,7.189357758,7.675667286,8.721731186,7.113744736,7.290277481,7.630561352,7.083747387,8.455337524,7.031599522,8.044509888,7.472301006,13.70183277,7.228677273,7.43563509,"Sepsis"
"GSM1317934",7.177107811,7.441179752,7.024131298,7.241447449,10.27346992,7.601615429,10.22882175,10.93662739,8.725622177,12.39024067,7.357931614,7.124773026,6.999039173,8.660188675,10.36698914,7.917805195,8.856840134,7.127949238,7.137006283,7.950430393,9.653647423,14.7777586,7.34637785,7.703927517,6.998587132,10.22599506,11.04777145,7.227697372,12.91177559,14.33150673,7.056292534,7.50237608,8.103673935,7.335810661,7.190494061,8.096679688,9.969022751,7.821849823,7.774276257,8.517465591,10.29890156,7.059869289,7.318641186,8.573038101,8.187320709,7.261680603,7.319193363,12.06631756,7.620934963,10.04122925,7.041736603,7.07938385,8.680199623,10.94541359,9.035798073,8.46577549,7.293870926,11.22842979,9.222663879,7.987062931,7.0996418,7.547711849,7.9944067,7.13251543,7.219283581,7.656069756,7.138505459,8.990889549,7.043250084,8.413778305,7.834544182,13.34326267,7.13666296,7.528189182,"Sepsis"
"GSM1317935",7.231163979,7.385922432,7.121283054,7.430655479,10.45776749,8.140490532,10.39235783,10.66281223,8.137145042,13.2358284,7.067994595,7.168457031,7.050224781,8.397972107,11.36929226,8.078491211,8.697584152,7.100434303,7.232302189,7.631924152,9.832129478,14.53448772,8.688764572,7.516480923,7.041203976,10.1796217,10.94541359,7.203804493,12.88043308,14.31682491,7.19516325,7.417126179,8.238365173,7.298936844,7.353492737,8.49804306,11.31890774,7.932293415,7.70455265,8.874155045,9.120307922,7.245577335,7.455075741,8.181982994,7.844506741,7.216810226,7.203894615,12.54341602,7.325154305,10.06417274,7.059589863,7.421741009,9.920191765,11.61667728,8.357848167,10.02748299,7.187182903,11.37238979,8.540701866,7.664760113,7.080107212,8.003880501,7.396761894,7.193645477,7.253526688,7.849740028,7.079423904,8.381285667,7.025422573,8.561354637,7.708285809,13.16584301,7.049644947,7.554008007,"Sepsis"
"GSM1317936",7.589063644,7.240208626,7.0847435,7.268084526,10.24602032,7.40699482,10.24173737,10.43802071,7.784889221,13.44976616,7.0794034,7.07715416,7.094257832,8.117025375,11.98735905,7.889507771,8.038132668,7.129119873,7.17083931,7.531796932,9.118318558,14.7777586,9.387570381,7.565869808,7.10132885,9.744450569,10.11902714,7.324357033,13.46693134,14.48576355,7.468579292,7.28660059,8.491280556,7.447068214,7.065608025,8.133394241,10.37157917,7.540808678,7.349955559,8.599737167,9.105834961,7.086098671,7.157504082,8.182594299,7.851065636,7.344439983,7.608790398,12.01880074,7.500341415,10.06417274,7.09021759,7.272483826,10.67068481,9.972648621,8.616409302,10.26482964,7.183518887,11.13085461,9.008932114,8.198219299,7.17991209,8.195302963,7.862502098,7.127748013,7.187454224,7.63523674,7.0532794,7.797542572,7.134226322,8.509426117,7.993291378,12.15764618,7.264689922,7.324250698,"Sepsis"
"GSM1317995",7.309455395,7.484147072,7.076861858,7.137556553,10.30334759,7.50237608,10.57098675,11.0642519,7.81178236,10.86284065,7.165941238,7.143042088,7.074221611,8.462752342,8.425912857,8.431859016,8.261209488,7.161722183,7.127933025,7.582642078,9.351038933,14.64205265,7.293655872,7.443238258,7.243488789,10.10545444,10.79375172,7.670253277,13.70183277,14.61182499,7.291709423,7.216995716,8.502411842,7.411882877,7.162137032,9.345692635,10.40991497,7.470533848,7.816643238,9.536953926,9.470844269,7.228623867,7.354344845,7.930579662,7.921435833,7.61004591,7.181697369,11.2413044,7.898862362,10.352952,7.149484634,7.007001877,9.047080994,9.949118614,9.631896973,9.893973351,7.205717564,11.57710743,8.118083,7.690797329,7.049977303,7.838235378,8.204912186,7.148651123,7.121298313,8.011670113,7.091878891,8.388953209,7.083747387,8.552462578,8.027976036,12.8291893,7.02233839,7.583120823,"Sepsis"
"GSM1317996",7.555817127,7.241847038,7.064971924,7.203463554,10.12553501,8.358950615,10.73123837,11.0642519,8.021677971,11.23374939,7.259090424,7.135947227,7.125403404,7.506824017,11.27571201,7.556411266,10.13835621,7.058893681,7.067485809,7.922296524,9.938557625,14.7777586,7.130052567,7.770848751,7.05491066,9.747567177,11.66619396,7.417795658,13.9907732,14.84386253,7.134912014,7.065742016,9.284332275,7.267395496,7.102390289,8.605131149,10.24899292,7.139803886,7.078738689,9.080307961,8.127677917,7.307803154,7.753708363,6.95794487,7.231108189,7.221681595,7.106303692,13.14983654,7.492300034,10.46922207,7.190190315,6.974211216,9.397172928,12.23530293,9.856495857,10.30463123,6.95319128,11.78771019,7.642318726,7.352044582,7.085091591,7.425000191,8.787744522,7.262848377,7.189032555,7.172459126,7.155502796,8.296962738,7.03972435,8.257122993,7.897623062,13.41559887,7.370661259,7.149877071,"Sepsis"
"GSM1317997",7.262317181,7.81427145,7.067592144,7.257750988,9.97842598,7.486224651,10.8184433,10.96123505,8.150323868,10.6248455,7.052527905,7.001655579,7.063057423,8.261209488,8.245747566,8.408389091,8.013374329,7.069128036,7.205910683,7.541019917,9.287511826,14.5020113,7.12808609,7.394880295,7.009235859,10.17396259,10.84535694,7.740603447,13.77232933,14.65753746,7.165592194,7.131569386,8.545684814,7.393976688,7.125403404,9.107800484,9.956205368,7.5719347,7.573753357,9.382002831,10.04253292,7.325748444,7.60587883,8.018569946,7.694331646,7.579502583,7.265539169,10.93006611,7.549257278,10.08195782,7.159474373,7.039757729,8.864851952,9.819324493,9.800580978,9.268714905,7.149086475,11.81454945,8.597594261,7.549690723,7.108258247,8.056875229,8.211144447,7.284373283,7.100483418,7.932052612,7.14411211,8.309911728,7.170926094,8.637925148,7.862134457,12.74976444,7.303109169,7.348635674,"Sepsis"
"GSM1317998",7.210968494,7.51170063,7.261426449,7.662192345,11.27316189,7.375180721,9.564067841,11.10438442,7.92907095,13.48360062,7.198422909,7.146410465,7.082332611,8.059617996,7.812859058,8.231343269,8.92082119,7.095990181,7.203419685,7.62497282,9.199451447,14.31682491,10.10934067,8.46312809,7.045642853,10.41321564,10.38745308,7.527879238,14.34638786,14.43885326,7.528490543,7.779980659,7.76397419,7.971511364,7.069572449,8.943826675,13.28164196,8.169039726,9.72610569,9.380456924,8.879481316,7.293194294,7.900267601,8.451883316,8.731289864,7.436457634,7.187622547,13.10755539,7.683970928,10.4002409,7.060338497,7.068977356,11.19110584,11.16343021,9.265670776,11.03150082,7.470963478,10.24602032,8.979877472,7.324812889,7.194460869,8.087439537,8.262823105,7.489989281,7.263154507,7.984568119,7.165254593,8.118083,7.121914864,9.189246178,8.42410183,12.68597794,7.183333397,7.570531845,"Sepsis"
"GSM1317999",7.33148098,7.159474373,7.216323376,7.647809982,11.11868668,7.590995312,9.733234406,11.68727493,8.236264229,13.19629192,7.048898697,7.097902298,7.026437283,7.917994976,9.082864761,8.390378952,8.105228424,7.117179871,7.136270523,8.035872459,9.184431076,14.56532383,8.593818665,8.237728119,7.16122818,10.82432938,11.60665512,7.919064999,14.4536562,14.61182499,7.299046516,7.603030205,8.195606232,7.816643238,7.156468868,8.04175663,12.4919281,7.743331432,9.194316864,8.395069122,9.985738754,7.24139452,7.937073231,8.871860504,8.265364647,7.400583267,7.139657497,13.55254555,7.818043232,11.06193161,7.096530914,7.03537941,10.21752071,10.94312572,9.810464859,9.665779114,7.510426998,10.39387608,9.001055717,7.493745804,7.168474197,7.929944038,8.385008812,7.310719013,7.168129444,8.014552116,7.129367828,8.400478363,7.077216148,9.269488335,8.297286987,13.7421217,7.088625908,7.859824181,"Sepsis"
"GSM1318000",7.296452045,7.625881672,7.036875725,7.47647047,10.61574554,7.659720421,11.48762321,11.56089401,8.107419968,10.71153736,7.196958542,7.142769814,7.033325672,7.798436642,10.64007759,7.772729397,9.248074532,7.078602314,7.115718842,7.815017223,9.715249062,14.30151463,7.272961617,7.666141033,7.042715549,10.27062702,12.12841129,7.967794418,13.12859344,14.34638786,7.217160225,7.237445354,8.114841461,7.499940395,7.163111687,9.06788826,8.896492004,7.581069469,7.443238258,9.508555412,9.350245476,7.290158749,7.525444508,8.491280556,7.91500473,7.276833057,7.065237999,12.23120594,8.163785934,10.03124142,7.267258644,7.107139587,8.400136948,11.23612213,10.89498997,9.250956535,7.223254204,12.49692726,8.354125023,7.551902771,7.157328606,7.550345421,9.040710449,7.003135681,7.24164772,7.597026825,7.091218472,9.002797127,7.009345531,8.272733688,7.866551399,13.7939806,7.293655872,7.992192268,"Sepsis"
"GSM1318001",7.565042496,7.342509747,7.02340126,7.240208626,10.15734386,7.674921036,10.45425606,11.10891438,8.219489098,12.27932835,7.143939018,7.092284203,7.166801453,8.461598396,8.534949303,8.476663589,7.588936806,7.054121017,7.238003731,7.754536152,9.207954407,14.54955006,7.670397282,7.65150404,7.054300785,9.932846069,10.52049923,7.433299541,13.61564922,14.62656593,7.445996761,7.062801838,8.599737167,7.285841942,7.143494606,8.735610008,11.01085281,7.766946793,7.325697899,9.138395309,9.093459129,7.228983402,7.141492367,8.062868118,7.962005138,7.456721783,7.102031231,11.35829735,7.280359268,10.31352806,7.071965218,7.084018707,10.06417274,9.466587067,9.39884758,10.36698914,6.978194237,11.36395264,8.006007195,8.272080421,7.111693382,8.14955616,7.67478323,7.035616875,7.219332218,8.212061882,7.199455738,8.177923203,7.15146637,8.828462601,8.196199417,12.69128418,7.132132053,7.492702007,"Sepsis"
"GSM1318002",7.231057167,7.398472786,7.084868908,7.345057011,9.965566635,7.513688087,10.99947929,11.04541588,8.083361626,12.0150528,7.056663513,7.131422997,7.04820776,7.885482788,11.0500412,7.787896633,9.164650917,7.124364376,7.108016968,7.87903595,9.431028366,14.48576355,7.218466282,7.476930141,7.135065556,9.788721085,11.69050694,7.96384716,13.10755539,14.59689426,7.17389679,7.258586884,8.236264229,7.36838913,7.121654034,8.651212692,8.734211922,7.424069405,7.128566742,9.179988861,9.103200912,7.250515938,7.433522224,8.123065948,7.421374321,7.234969616,7.156765461,12.27518749,8.000638008,9.777101517,7.231427193,7.145933151,8.101626396,11.0572176,10.39070702,9.27618885,7.168405056,12.17012978,8.22619915,7.428222656,7.287079334,7.524150848,8.754573822,7.032398701,7.141218185,7.592213154,7.150875568,8.947787285,7.026695728,7.917994976,7.557290554,13.45775223,7.299855232,7.934851646,"Sepsis"
"GSM1318003",7.214930534,7.566464424,7.009056091,7.295976639,10.31220341,7.467148781,11.69050694,10.83254242,8.027489662,13.91954327,7.09361887,7.021618366,7.082503319,7.806603432,12.79292393,7.928263664,9.027175903,7.091387272,7.084319115,7.762801647,8.92082119,14.04120827,7.746758938,7.580951214,7.085903168,10.01499081,12.19173717,7.924835682,12.89319229,14.5020113,7.556637287,7.292742252,8.150895119,7.405337334,7.155985832,9.200149536,9.78986454,7.464565277,7.177919865,9.563174248,8.562911034,7.293153286,7.193821907,7.973359108,7.621066093,7.263801098,7.240844727,13.41559887,7.808215141,10.07835484,7.217983723,7.06234026,9.449281693,11.31586742,10.51344299,11.18835926,7.143525124,12.64220715,8.401873589,7.383206844,7.064539433,7.559287548,8.439347267,7.071716309,7.217184544,7.733848095,7.131744385,8.751153946,7.125357151,8.004826546,7.662045002,13.69198418,7.234725475,7.79809618,"Sepsis"
"GSM1318004",7.360115528,7.929737091,7.123999119,7.363238335,10.9835844,7.72379446,11.93791866,11.47451878,8.37009716,9.914548874,7.29463768,7.091147423,7.058153152,8.428877831,8.578942299,8.73078537,7.943120003,7.166662693,7.093239784,7.716161728,10.06654835,14.75221539,7.145947456,7.53371191,7.205179691,10.13197994,12.65859604,8.492861748,13.35937309,14.7777586,7.027954578,7.389672756,8.628051758,7.39315176,7.202670574,9.805045128,10.340518,7.803544998,7.382668972,10.50809765,9.807144165,7.356589317,7.709486008,8.407045364,7.718278408,7.342284203,7.223254204,12.21355438,7.786744118,10.4002409,7.167681217,7.04766655,8.20371151,10.85165787,11.64648628,7.959134579,7.436378956,12.77439117,8.579770088,7.900678635,7.200433254,7.41322279,8.175881386,7.202188969,7.28897047,8.372946739,7.066987038,8.698493958,7.099106312,8.419816017,7.802843571,14.34638786,7.243428707,7.828371525,"Sepsis"
"GSM1318005",7.565411091,8.286697388,7.044209003,7.394601822,10.52395535,7.451646328,12.26234245,11.08088684,8.201969147,8.467381477,7.265503883,7.125925064,7.064399242,8.299639702,7.803898335,8.737095833,8.129078865,7.119080067,7.093206882,7.799454689,10.01885891,14.30151463,7.058438301,7.441430092,7.086983681,10.05169487,12.37127972,8.055913925,12.4329834,14.59689426,7.061385155,7.31700325,8.462378502,7.503944397,7.12644577,10.32990646,10.48775768,7.798594952,7.149056911,10.94994354,8.663826942,7.395232677,7.17538166,7.85754776,7.69051075,7.41421175,7.175157547,11.47766972,7.837890625,10.75070667,7.131168365,7.005435944,8.127958298,11.26791286,11.04541588,7.457170963,7.057445049,12.8672123,8.410921097,8.096679688,7.084018707,7.695106506,8.420147896,7.195886135,7.398266315,8.224019051,7.016416073,8.705592155,7.133743286,8.454530716,7.649447918,13.82612133,7.166209698,7.542786121,"Sepsis"
"GSM1318006",7.155985832,7.204277039,6.934972286,7.544974804,10.83469009,7.584323883,8.540701866,11.10199451,8.245113373,13.22032928,7.094290257,7.127873898,7.094223499,9.120307922,8.220129967,7.589063644,8.398659706,7.050034046,7.205347538,8.372219086,9.342570305,14.54955006,8.42410183,7.975605011,7.054934978,10.65879917,11.15869713,7.387523651,14.42391872,14.30151463,7.599370003,7.329133511,8.076457024,7.662621975,7.117382526,8.275727272,13.53600979,8.138824463,8.556558609,8.52626133,8.265664101,7.203181744,7.729341507,7.940544128,7.905865669,7.470796108,6.979794979,14.02818394,7.393350124,10.6209898,7.105574131,7.041203976,12.29318619,10.09488869,8.460820198,11.40468121,7.489901543,9.489327431,8.795781136,7.344497204,7.094340801,8.255293846,7.802126408,7.183184147,7.207247734,7.406779289,7.217068672,8.144060135,7.066663742,9.37255764,8.011670113,13.6539793,7.128534317,7.640928745,"Sepsis"
"GSM1318007",7.710950375,7.923974037,7.103536606,7.372611046,11.02916622,7.516379833,11.80667973,11.56419468,8.150323868,8.519458771,7.068081856,7.118111134,7.040313244,7.982065201,7.83584547,8.888352394,7.868257523,7.134191513,7.158988953,7.662045002,10.00640869,14.71159077,7.097120762,7.392291546,7.11040926,9.966819763,12.04212284,8.181090355,13.08562183,14.62656593,7.198113441,7.348635674,8.492493629,7.440042019,7.132767677,9.728014946,9.909802437,7.605127335,7.291795731,10.16156101,9.071681023,7.23982048,7.098706245,8.163194656,7.523419857,7.291882515,7.218754292,11.45959854,7.794998169,10.16713715,7.11565733,7.105066776,8.36903286,10.80189133,11.00186729,7.596775532,7.173648357,12.45229053,8.366173744,8.55403614,7.117543697,7.720588684,8.232910156,7.108494282,7.396057129,8.314934731,7.148934364,8.495246887,7.13824749,8.588809013,7.65440464,13.7110424,7.33174181,7.785926342,"Sepsis"
"GSM1318008",7.251886845,7.621324062,7.068301678,7.878055096,11.80667973,7.939900875,10.10800934,11.56089401,8.257748604,12.31189346,7.148493767,7.007451057,6.996693134,8.178495407,11.40156937,8.500829697,7.949281216,7.044178486,7.106548786,8.052386284,9.334281921,14.46974087,8.386104584,8.144367218,7.092232227,10.53089905,12.50179195,7.880010605,13.8831749,14.39126587,7.528285503,7.607522488,7.952584267,8.037420273,7.048734188,9.038949966,12.40500164,7.894584179,9.415317535,9.497817039,9.555054665,7.365323067,7.464734554,8.996781349,8.454906464,7.321140289,7.044593334,13.90617275,7.59258461,9.899768829,7.150177956,7.133450508,10.14517021,11.03150082,10.42248726,11.62973785,7.299389839,10.95660305,8.958573341,7.31350708,7.13844347,7.598012924,7.994626999,7.193448067,7.22231245,8.052900314,7.106399536,8.680199623,7.127076149,9.364693642,8.391077042,14.25828743,7.109245777,7.911911011,"Sepsis"
