"GeneID","Importance_average_feature_importance_noSMOTE_GSE154918","Importance_average_feature_importance_noSMOTE_hr0_GSE57065","Importance_average_feature_importance_SMOTE_GSE100159","Importance_average_feature_importance_SMOTE_GSE131761","Importance_average_feature_importance_SMOTE_GSE185263","Importance_average_feature_importance_SMOTE_GSE235713","Importance_average_feature_importance_SMOTE_GSE243217","Importance_average_feature_importance_SMOTE_GSE28750","Importance_average_feature_importance_SMOTE_GSE65682","Importance_average_feature_importance_SMOTE_T0_GSE69063","MetaImportance"
"PLAUR",0.0806531330859471,0.00355442867234318,0.317032672148984,0.000394469696969696,1.45498901458907,0.0494574834648179,0.0586636736254327,0.00586090213937491,0.0855998497824043,0.0896787586133517,0.21458843858187
"PTX3",0.0719792571241437,0.0897654132191891,0.00181772838834198,0.159237733197384,0.827727143594886,0.133179580863579,0.0202540553531085,0.198847986210233,0.0158852709252282,0.0917169713384496,0.161041114021454
"CX3CR1",0.0575716002721061,0.0550973302856541,0.0927663277878823,0.35395508544445,0.758938472101223,0.156768281345593,0.0397587192837417,0.0703625666047528,3.54951983009364,0.0768192714310914,0.521155748465013
"NOTCH1",0.0549137833627701,0.00271041993444499,0.0017499220134704,0.00852488051346145,2.23888921740975,0.400633773052915,0.0077068660715102,0.0135950127537225,0.125326882465074,0.0166195068906261,0.287067026446775
"C5AR1",0.0531429724392125,0.00327112130623,0.0274953103636217,0.132095395239675,1.90861637224584,0.126377419789393,0.0108369180499135,0.0139623594407503,0.0757770509028361,0.0139743113651071,0.236554923114258
"HLA-DRA",0.0480737852004815,0.0996514277299538,0.344454924382528,4.16334647386126,1.61858683220022,3.45676816474448,0.197261288627552,0.302734677839181,3.45285497225263,0.696330296399572,1.43800628432379
"IL1B",0.0430763824618729,0.00309895375579587,0.0563403148024319,0.00984943148267853,1.20888810710279,0.0420258212565398,0.32081640248025,0.00394382123080916,0.0745139306390012,0.136789044209033,0.18993422094212
"CCL2",0.0429784100481941,0.00396693776058451,0.0277422942518553,0.0495114523666729,0.624461428027664,0.172586685942462,0.00765413366750209,0.002182512240057,NA,0.00501714318105232,0.104011221942894
"CCR2",0.0389058273352968,0.00410271727111898,0.00934379178037002,0.028577039143263,1.89195027266683,0.0625374793546687,0.0101456215685842,0.0130925316439731,0.063359849499917,0.0277731071716731,0.214978823743569
"CXCL8",0.0364621531120852,0.0172540522549194,0.0288352654849796,0.0189380811968686,1.87282142090183,0.0377100953806989,0.00221501824834205,0.0438323276236562,0.0147715790148759,0.0203678885374276,0.209320788175568
"PDCD1",0.0348575795209461,0.00310042543106448,0.00640354621973182,0.0332529581005298,0.574428469054452,0.192631841769932,0.0359219542433639,0.00694300486563353,0.0294213248958986,0.00664642119872496,0.0923607525300277
"TREM1",0.0322500148003669,0.0111997918981579,0.00371669287792091,0.00243087279360824,2.19378705924721,0.01908151857455,0.0130046161760687,0.0360107887550558,0.161187832179356,0.0144699586764261,0.248713914597872
