"Sample","P2RX7","OLFM4","LBP","NOTCH1","HMGB1","FCGR1A","IL6","IL1B","CXCL8","IFNA2","IL10","ARG1","ICAM1","CD14","ITGAM","BCL2","VCAM1","MAPK14","CX3CR1","HIF1A","CXCL10","C5AR1","CALCA","CCR7","ELANE","GATA3","HMGB1.1","IFNB1","MMP8","MYD88","P2RX7.1","PLAUR","PTX3","S100A8","S100A9","CCL2","TLR2","TLR4","TNFSF10","SOCS3","C3AR1","IL1R2","NLRP3","MMP9","PDCD1","LCN2","S100A12","CCL25","CCL19","NOTCH1.1","TREM1","CD177","TNF","CRP","IFNG","Label"
"GSM151385",0.066092499,-0.068831556,-0.09519662,0.603385389,0.8720783,1.272688389,-0.493945867,0.934872329,1.164900541,2.089431286,-1.944564104,0.945269525,0.384307683,0.292003572,0.800772607,1.460602522,-0.95301497,1.174493074,-0.136479899,-0.308033943,-0.917053282,1.504175663,0.658878446,-0.533236146,-0.614325345,2.624606848,0.708654165,0.030100437,0.065182641,3.655323029,-0.472583145,-0.171406925,0.150917411,8.970696449,5.08073473,-0.501207948,0.684348762,3.248034716,-0.672732353,-0.266106427,-0.022482807,2.144338608,0.591738462,-0.370815873,-1.133340001,0.117345721,2.782925367,-5.597825527,-1.832865953,-0.358245373,1.714642406,1.083151937,-0.159441322,-0.32247287,0.293103725,"Control"
"GSM151386",-0.17946966,-0.620310426,0.387179822,1.231265068,0.257070363,0.747601569,0.133241534,1.326400876,0.502515674,0.700358987,-1.801223278,3.398072004,0.572115242,1.759340763,2.239853859,-0.487734765,-0.439623475,1.121721148,2.053641081,-0.571747184,0.440794438,2.888090849,-0.463633299,0.430485606,-1.336682439,-1.491352201,-0.456222773,0.902242243,2.02614665,3.638637781,0.065800443,-0.514760733,-0.494590521,7.590310097,5.488065243,-0.045156889,2.140854359,1.949224472,3.459544897,2.024264336,0.347443879,1.317352891,0.648394465,-1.095677376,-0.320577919,0.800262988,3.540812969,0.329861104,1.15873456,0.385131627,1.811578512,2.89327693,0.570851147,0.875709116,0.946349442,"Sepsis"
"GSM151387",0.761046052,-0.2833125,0.770678759,2.967963219,0.242189258,3.040933609,-0.028034437,2.546188831,-0.612860203,-0.774695873,-0.242270246,5.569333076,0.63265419,2.304111719,3.244286299,0.232087195,0.335181266,2.526198149,0.345261127,-1.040172696,-1.017730594,4.32506609,-0.110586561,0.249079242,-0.985322475,-1.241152525,0.869930327,1.874880791,2.225742102,3.931201696,-0.653225601,0.279788345,0.735775292,9.827046394,8.200920105,-1.49465096,3.806671858,4.266277313,1.795588374,1.497238278,3.263031483,4.601016998,0.129706725,-0.207321391,0.625766575,-0.046349578,6.678303719,0.539850056,0.035532344,1.685592771,2.188739538,3.298870802,0.308582008,0.204326794,0.583856046,"Sepsis"
"GSM151388",2.772194386,2.14620471,-0.314714819,2.444225073,-0.714942336,3.774713039,-0.897466183,3.426647186,0.187133357,0.34346199,0.327202797,3.569499254,-0.973249018,3.592307568,4.03471756,-0.084628187,-0.257914692,2.514235258,0.091316536,0.130211413,-0.699693024,4.04521513,0.098056123,0.487902939,-1.032328844,0.188376546,-0.893771231,1.462278485,3.277945042,3.242825031,0.489546776,-0.775744677,0.357216269,10.21343994,8.903437614,-0.984523356,3.872015238,3.553462744,1.756308436,2.792532682,0.948612869,5.240580559,0.337977529,-0.493267655,0.822760522,3.743944883,7.197343826,2.25316,0.313370019,0.772584319,0.911593378,5.58323288,0.329596668,0.658772409,1.551698923,"Sepsis"
"GSM151389",0.858639598,-0.099400967,-0.435129732,3.693584442,-0.133970484,2.224025488,-0.137300134,1.65641129,-1.890515327,-0.170411333,0.528067529,4.164243221,0.511917353,2.259637833,4.108299732,-0.347234994,-0.255681604,2.113465548,0.36443904,-0.495448709,-1.002817035,3.635266066,0.297403663,0.453248739,-0.62367326,-1.477937102,-0.861468911,1.571417212,1.520072341,3.700297594,0.786796331,0.459050506,-0.174294144,7.153757572,6.102050781,-1.651332855,2.79047513,2.926353693,0.944824815,1.524598718,2.104026556,5.246113777,0.582458436,1.162031293,0.458611816,1.230302572,7.396402836,0.180084765,0.22426185,1.836494327,2.018802643,5.168736458,-0.453912467,-0.037545443,-0.230648011,"Sepsis"
"GSM151390",-0.427048862,0.589100897,-0.198447019,3.158543348,-0.529867589,4.417801857,0.206561744,2.927484751,-0.571906805,0.432039708,0.690484107,4.511856556,0.77887392,3.125738621,3.240730047,1.138705373,-0.418775141,3.341418982,0.165818706,0.940343678,-0.117772236,3.280030489,-0.088432826,0.954200268,-0.051164471,-1.471120715,-0.097920701,1.055428267,0.303405285,3.834348202,0.294502556,1.05332458,-0.712106109,9.477743149,5.201809406,0.483800828,3.310057878,3.796752453,2.591121674,2.118274212,2.069512606,5.419371605,0.848996699,0.649305046,1.165160298,0.10640949,6.801635742,0.217554271,1.457571983,1.926378131,2.695132017,5.820765495,0.832208276,0.158876851,0.172130734,"Sepsis"
"GSM151391",1.054801822,0.092996769,0.669402182,2.014803886,-0.149049625,3.227057934,-0.469779879,1.791822791,-0.942591906,-0.531064689,0.262663305,4.937683582,0.013940458,2.660157919,4.700445175,-0.600597501,0.046313703,3.412388325,-0.255592078,1.477289915,-0.941466451,3.239503145,0.398039609,2.05405283,-0.893254757,-2.388453484,-0.27375865,0.204401314,3.30769825,4.742883682,-1.318897128,0.047000263,0.244380429,11.05897808,7.650892735,-0.285038471,3.549524784,4.067296982,2.311461687,1.152768373,2.461098433,5.243505955,1.249626994,-0.571265459,1.173248291,-0.039215997,7.374692917,0.846449196,1.16983664,1.596307635,1.590797186,4.072545528,0.566566825,-0.76648128,0.68714273,"Sepsis"
"GSM151392",0.196792781,-0.214958996,-0.604056597,2.943348169,-0.112270691,0.166704133,0.602786064,1.080451727,-0.09598089,-0.415188998,0.805712581,5.305279732,0.544746101,2.686876059,4.137936115,0.605882704,0.487755418,2.26929903,-1.056611419,0.41100806,1.072384119,3.804564238,0.524934351,1.154880881,-0.089680336,-1.196172476,-0.93159157,1.864167929,0.998052835,2.786785364,-0.205012903,0.80493474,-1.074753404,6.917857647,6.455674171,-0.543802679,2.797555685,3.655230284,2.681864262,0.279370606,1.478865504,5.103213787,0.795664132,2.242784977,-1.063994884,0.94650501,6.280897141,2.797356129,0.210597143,1.726433396,3.085255861,3.457113743,0.458687991,-1.020358801,0.130190238,"Sepsis"
"GSM151395",-0.336213022,0.529090106,0.423511982,2.860332966,0.797966003,2.193337917,-1.843880773,3.164566755,-0.369037867,-0.137982637,-1.253080606,3.72573781,-0.553053975,1.735605955,1.971850157,0.593207061,-0.678894758,2.781886101,-0.021594126,0.285934597,0.045893647,4.239885807,0.538508534,0.643225133,-0.143271104,-0.568285704,-0.130023509,1.519550085,0.350821882,2.830936909,-0.638400793,-0.301784784,-0.193455592,8.855492592,7.138374805,-1.373317361,4.286347866,4.472905159,1.630089998,2.341360331,2.028144121,3.844911337,-0.395044595,0.88653034,0.451157391,0.987991214,7.514772415,0.543994308,-0.034906924,2.042517662,1.696078777,4.145100594,0.122454971,0.075078219,0.091526255,"Sepsis"
"GSM151396",0.373822957,-0.503974557,0.238366276,2.392973661,-0.105921045,1.535180449,0.674256563,1.548243403,0.513136685,0.024267398,0.571803391,5.136364937,0.907631338,1.65013504,3.351531267,-0.026565503,0.111943215,2.724624157,1.427565098,-0.93110621,-0.896462381,3.920078278,-1.109053493,1.197452545,0.282198638,0.387182325,0.524607003,0.946402609,1.152695537,2.570680857,0.058368679,0.861051857,-0.230619639,9.248218536,6.979035854,-0.629411042,2.566821575,2.177859306,3.016103983,2.483660936,4.034168243,4.629585743,0.358823597,0.923500061,0.029094556,0.201674432,7.419433117,-0.199086845,-0.657213986,0.885714233,1.858794212,3.228717566,1.359178305,0.492854238,-0.394094288,"Sepsis"
