"Sample","ITGAM","IL10","SOCS3","S100A9","C3AR1","MMP8","CD177","S100A8","S100A12","MAPK14","IL1R2","CD177.1","ARG1","ARG1.1","GATA3","S100A12.1","Label"
"GSM3816569",12.4055114538144,8.20107550555695,12.0446284284442,17.0822909444459,11.1997478050867,11.0214782523766,15.4361833600517,17.9828659071375,17.7768068593388,10.1134372522557,13.850036192267,9.99351793567431,13.8519601530434,13.0314635708816,7.2328475272203,17.566535235278,"septic shock"
"GSM3816570",11.4424288140148,7.23957477047768,12.5189376673356,16.7200216389538,12.2682423134415,9.05927769921436,13.8173882530174,16.7110740888771,15.765108733889,10.4456372850811,12.781613060336,8.20581036946279,12.7017044462785,12.2478595489063,7.46637978338897,14.6036885959997,"septic shock"
"GSM3816571",12.1728185916963,7.24366365959693,11.3703728049992,17.4004934985458,11.2390109902271,8.22885975249075,13.3358528244761,18.1495809068178,17.2578426153684,11.1206257002898,12.1377224903298,8.48974040462047,12.0810538671832,11.0379357038416,7.77536898359759,16.7785117062054,"septic shock"
"GSM3816572",10.9696283214275,7.09996430451862,9.79872717553365,16.7200216389538,10.9906482424883,6.95384712385971,7.14719585990164,17.5049628044254,15.9959315880801,10.0479122348005,10.6462960155093,6.95958265827043,11.3660410258636,10.4121141890737,7.90311641186977,15.2512653393658,"septic shock"
"GSM3816573",11.9699044517089,7.19572053234381,9.9802809819243,16.9809772137902,10.1195156922616,6.92520020753996,13.0115109198551,18.1996040122705,16.6829925702236,9.49364764645573,11.1282459814794,7.65186601329154,12.0438178926398,11.1347943672752,7.70360668438882,15.7873984268348,"septic shock"
"GSM3816574",13.1830286715819,7.51582665849878,11.3728691034012,16.500894233449,11.763340418302,7.37543927834921,14.1225348499649,18.1996040122705,16.8778362846964,11.2461981612086,12.5971258656028,8.33301890136138,13.6483309906126,12.6496785655875,7.56644334663124,16.321060632769,"septic shock"
"GSM3816575",11.8466522976723,7.08957798443346,11.1225564085722,17.2917310562135,11.6988277794062,9.76689362979595,13.3127071793064,18.4408690765849,17.5049628044254,10.4121141890737,10.5658576185398,8.43872432124344,12.8830594435103,12.0057429852318,7.42144104206855,16.3537313523733,"septic shock"
"GSM3816576",12.3517810023798,7.15299942033115,11.3190801465254,17.34497999802,11.658495692539,7.00936110891718,13.9190878550332,17.7023871272936,16.2966322192722,10.1441966769375,10.8734860045273,8.3506105425034,10.9771936747082,9.85659202877296,7.88114473050685,15.7713270214653,"septic shock"
"GSM3816577",12.8332516127735,7.6392771051111,11.2517963433801,17.3098070408904,11.8673118730661,9.35590127207526,16.6117017663598,18.6895942273387,18.0138139426404,11.5610917021898,14.3612268291517,10.8748007947585,14.7117267809036,13.4720102169222,7.39139030352562,17.5251201622416,"septic shock"
"GSM3816579",12.590967986106,8.46907896381007,11.4468400551351,17.226225525977,11.5887080659656,12.0446284284442,14.9921372827232,18.7664180653686,18.3694270724536,11.4455758268551,15.1241952871212,10.4999998062152,15.1950742062403,14.3612268291517,7.12272647193223,18.2537099454308,"septic shock"
