"Sample","TLR4","CX3CR1","HMGB1","HMGB1.1","HIF1A","CD14","MAPK14","ICAM1","ICAM1.1","TNFSF10","TNFSF10.1","CXCL8","S100A8","S100A9","BCL2","BCL2.1","VCAM1","MMP9","CXCL10","TLR2","IL1B","IL6","IL1R2","CRP","ITGAM","S100A12","CX3CR1.1","PTX3","ARG1","CCR7","SOCS3","SOCS3.1","ELANE","CCR2","CCL25","BCL2.2","BCL2.3","NLRP3","P2RX7","TNF","MMP8","IL10","PDCD1","CCR2.1","IFNB1","IFNA1","HLA-DRA","MYD88","GATA3","GATA3.1","GATA3.2","C3AR1","CCL19","IFNG","MAPK14.1","CALCA","CALCA.1","PLAUR","HLA-DRA.1","MAPK14.2","IFNA2","IL1R2.1","CXCL8.1","MAPK14.3","LBP","PLAUR.1","LCN2","OLFM4","SOCS3.2","TNFSF10.2","S100A8.1","LBP.1","PLAUR.2","HMGB1.2","ICAM1.2","NLRP3.1","NLRP3.2","CCL2","FCGR1A","CALCA.2","CALCA.3","NOTCH1","TREM1","CD177","C5AR1","TLR4.1","NOTCH1.1","TLR4.2","HMGB1.3","HMGB1.4","SOCS3.3","P2RX7.1","ARG1.1","ARG1.2","ARG1.3","MMP8.1","TLR4.3","CRP.1","IL1B.1","Label"
"GSM712488",7.005070117,8.833484697,7.732124747,11.02406317,9.497494892,9.819153785,8.665676654,6.936278023,5.753165755,9.25897957,10.76153881,5.728343318,13.17944334,13.23919736,5.019773035,7.487582772,3.387603795,9.433336545,5.196384814,9.894841393,7.839126782,4.523768688,8.863804163,4.090484457,8.925367622,10.71076745,11.28680047,3.386206861,5.430457482,9.640862599,5.229217394,5.796927248,5.316273831,8.80326272,3.808080407,6.075703137,4.679917186,5.715643444,5.08660576,6.450281888,3.757126483,3.088080074,6.175409873,5.757483911,4.220575177,2.726048589,11.21659662,11.45130144,5.612462397,4.551243934,9.246469406,7.566999834,4.335369658,3.704470994,6.38323469,4.097651265,4.258739328,8.731621256,10.93405512,4.303736177,3.061282624,7.679598621,3.596687091,6.736746394,4.571569011,8.098341067,7.534232076,3.246092242,4.877867647,8.283143334,6.73994578,3.377535347,6.486609505,11.4859543,5.494127766,3.501370529,3.5996313,3.155915568,2.869166403,5.399271846,3.419088333,7.73558258,8.961868745,5.343056063,10.17561301,6.708811206,5.425372737,7.360032605,9.540146775,6.266425743,6.161146645,6.598883863,2.965530932,3.241057518,2.697647073,3.887575382,5.660628912,2.868926479,7.910104515,"HEALTHY"
"GSM712489",7.332600604,8.261516485,7.880252602,11.28179277,10.39344687,10.7098814,9.220882087,6.848683257,5.955893478,9.685010088,11.15902768,6.675775371,13.49012903,13.74613338,4.955428956,7.561757526,3.00959558,10.7346828,5.065482981,10.62824791,8.252933988,4.536606557,9.722373406,4.300909271,9.011945846,10.94012549,10.89698264,3.987958518,6.855306048,8.87883892,5.236936326,5.815629924,4.621812467,8.888864924,3.619174305,6.186536872,4.404511507,6.662076151,4.944978963,6.065109768,3.724853672,3.100175937,6.190575898,5.459807323,3.64320571,2.435389419,11.0695323,11.86237055,5.399842557,4.420671792,8.912364686,8.353865285,4.169743749,3.653438744,6.527648107,4.328949762,4.215734451,9.256687515,10.81830815,4.017060008,2.825902357,8.413201779,3.882377792,7.015903459,4.931388813,8.176165579,7.325968497,2.876335781,4.652025149,8.811979951,7.515527071,3.110246933,7.156920592,11.61418427,5.575459973,3.783962391,4.648063183,3.004475564,3.074386148,5.415406406,3.081919276,8.260289451,10.06950333,5.883141894,10.96607985,6.27872814,5.547099568,7.839884019,9.652503449,6.613340444,6.207092565,6.938938996,2.803477207,3.539094503,2.491172925,3.960594258,6.685539486,2.792237574,8.454927344,"HEALTHY"
"GSM712490",7.278365605,7.88429237,7.850677349,11.00777062,9.658276086,10.10127295,9.163344396,7.028361011,6.096952795,9.537524887,10.85671906,6.338532315,13.22633241,13.47970515,5.015594233,7.593295052,3.213931288,10.06093273,5.112955384,10.67401467,8.161934568,4.368112715,9.317414467,4.06011657,9.109219143,10.58210493,11.07601782,3.589600808,6.016367201,9.833945123,5.30726074,6.025745122,5.564577562,8.600375945,3.715997029,6.209661116,4.535534904,5.949137827,5.761544151,5.951691868,3.849086291,2.89125946,6.100459266,6.303187973,3.886029095,2.36989105,11.78317603,11.54034293,5.667920605,3.971824222,9.305119406,7.758385196,4.362245474,3.74537276,7.054123777,4.599615297,4.307850098,9.108333986,11.4956153,5.102136838,2.699053049,8.288127565,3.941468096,7.320948277,4.250428365,8.405571202,8.043889925,3.084885689,4.706038397,8.38540461,7.785713666,3.260590632,6.845954716,11.40995385,5.749429669,4.067245087,4.429585107,3.182462045,3.108649159,5.081315024,3.224420871,7.996257096,10.30318446,5.289034306,10.46390038,7.552100078,5.575917955,7.741525018,9.212684823,6.454703439,5.8605722,6.027301637,2.714900629,3.305775636,2.430575527,5.155465603,6.518891666,2.859247086,8.317027582,"HEALTHY"
"GSM712491",7.070639889,7.872421618,8.296128943,11.38188829,10.13654724,10.05864803,9.116126744,7.015850553,5.952480754,9.318274245,10.81317205,7.319135854,13.73184959,13.48976442,5.133171504,7.456791671,2.914343248,8.924525199,5.090984347,10.51937918,8.328075828,4.575839532,9.007147299,4.171666876,9.01744867,10.41783162,11.15747925,3.517548094,6.376186223,9.336495647,5.17725688,5.794577699,4.476888908,8.91152983,3.775609962,6.100469003,4.395769949,5.873257918,5.215953998,6.139518742,3.591719495,2.832127098,6.071368633,6.676374058,3.666863299,2.489867179,12.03512003,11.55762862,5.812649138,4.695831792,9.197041891,7.708026449,4.39727505,3.537696357,7.19355709,4.032593194,4.050026001,9.013447113,11.62754836,5.375682113,2.829298044,8.217958948,3.827364164,7.292910282,4.477700444,8.251960588,5.873800379,2.92341821,4.755404565,8.522096544,7.721749058,3.200671039,6.43526905,11.73370244,5.375653861,4.250237321,3.433272197,3.042198485,3.085300999,5.180988618,3.406330048,7.875937837,10.10286459,5.315964776,10.75431498,7.174845636,5.599866366,7.481294958,10.05370171,6.820237432,5.680807166,6.732750578,2.883500945,3.015587171,2.595570013,3.639454874,6.3477508,2.981005808,8.379638499,"HEALTHY"
"GSM712492",6.819944384,7.889496667,7.775646599,11.06929021,9.898647342,9.965151976,9.267866737,6.935777689,5.949487355,9.873640199,11.2712664,5.218636847,13.49598796,13.5704193,4.872351104,7.020844561,3.187597551,9.67607499,5.033122704,10.53310252,8.290509858,4.191380559,9.243186412,4.059053932,9.022019928,10.98721487,10.77061641,3.115141796,6.049433255,8.930509529,5.424836053,5.801254397,4.400069633,8.35467273,3.688324722,6.134055679,4.401183241,5.795685043,5.62411376,5.786529862,3.501462632,2.768778732,6.158670472,5.614478674,3.910652452,2.542827023,11.52939699,11.56906952,4.755834854,4.552590732,8.886980854,8.054321359,4.350902235,3.929517327,6.922184162,4.552590732,4.158563251,9.183750796,11.27813062,5.005217015,2.863648077,8.284554273,3.919011584,7.299277576,4.602185887,8.495807477,6.841575988,3.246092242,5.051656428,8.851757767,8.088618328,3.134473678,6.803953977,11.32012206,5.355308261,3.960682234,4.068328313,3.30107606,3.125473714,5.463775999,3.368393412,8.275781194,10.23465317,6.321151791,10.79852243,7.099757595,5.918078635,7.651060552,9.226044597,6.105363297,6.44951828,6.632738059,2.875004774,3.383614559,2.674562627,4.300400706,6.446889512,3.028382543,8.362238119,"HEALTHY"
"GSM712493",7.314982751,7.745056641,8.346224539,11.39125849,9.956230489,10.21801559,9.205759551,6.714793985,5.292393914,9.178055687,10.80554599,6.837143942,13.59754545,13.44358539,4.848501663,7.448106274,3.237885269,8.26977529,5.13793949,10.64488258,7.89428796,4.44750352,9.100141768,4.298230351,8.816431441,10.56030003,10.86342626,3.742176769,4.722153786,9.716462084,5.498301629,5.702929765,5.224974107,9.002527412,3.826285747,6.204651309,4.702994466,5.748798732,4.892356425,5.806119184,3.751537197,2.509459802,6.088902852,6.605061456,3.944080864,2.635300119,11.67291425,11.29937072,5.084092704,4.448474434,8.849476479,8.175391827,4.129508045,3.703958827,6.98080385,4.358342319,4.20974171,8.524535769,11.37709218,5.324829625,2.968775132,7.90560334,3.818275,7.035033988,4.448577048,7.822928246,6.617343303,2.769183703,4.72269506,8.558807103,7.750467737,3.148939734,6.459408355,11.88971806,5.793758861,3.731068832,3.621034002,3.12716211,2.738054783,5.394146973,3.354308532,7.981349773,9.559436597,5.537003665,10.17685663,7.338152126,5.668562989,7.829622725,10.27663027,7.087334529,5.828938534,6.578945885,2.921263966,3.249622166,2.441600744,3.891615403,6.451837742,3.009285358,7.94428346,"HEALTHY"
"GSM712494",7.228653608,8.024617969,7.53716347,10.97222924,10.87771199,10.83088757,9.087690184,7.111459482,5.986462901,8.639536293,10.3633119,6.052272765,12.67990724,12.94046892,4.960834361,7.796196048,3.137103709,8.212823223,4.979044251,10.52605927,8.071194294,4.699579994,8.935408702,4.026686922,9.38505778,10.00973263,11.58104446,3.67383403,5.977126269,10.10733281,5.125549425,5.740215725,4.56467903,9.258278426,3.370190392,5.845807943,4.284587204,7.103443486,4.626934928,6.066648942,3.526413666,2.808728107,5.782096586,6.941709762,3.681941707,2.428011575,11.9934751,11.53695836,6.187162733,5.174962609,9.493083543,8.095019027,3.892824978,3.44241217,7.303316865,4.30325298,4.095754692,8.926631176,11.67760723,5.258333601,3.027331345,8.099711259,3.562937749,7.522762075,4.562958924,8.075344501,6.743600391,2.510753693,4.301828823,8.001074068,6.459821671,3.122479274,6.315677161,11.59396018,5.529728538,4.722958347,4.005126876,3.182462045,2.862688915,4.939905409,3.395667691,8.247156478,9.744897875,5.302391407,10.65529996,7.65437801,5.418995419,8.169904841,9.800867859,6.888878401,6.206617978,6.813687972,2.897310092,3.202969476,2.430900713,3.452762506,6.807943707,2.748079666,8.283190993,"HEALTHY"
"GSM712495",7.354047083,7.905688771,7.888511277,10.83246895,9.81985298,10.30617737,9.415489013,6.885975399,6.117237806,10.05472346,11.24586978,6.07533996,13.73779648,13.52886281,5.109122404,7.180547329,3.123440894,10.09133283,5.219402029,10.81998798,8.681090651,4.534491382,9.578361399,4.076823892,9.004380763,11.29480555,10.68506473,3.085106128,7.882764984,9.191703953,5.626766256,6.268140871,5.096251155,8.856512623,3.857946849,6.550202023,4.703519637,5.961116457,4.885628967,5.527416133,4.115128096,2.584100433,6.183173452,6.50295618,4.07586661,2.727830241,11.83790852,11.50556726,3.895954201,4.084060384,8.370755982,8.3489422,4.481361096,3.734125634,7.643185316,4.389024309,4.192572011,9.19199354,11.57506614,5.512675641,3.016380819,8.418941572,3.607820898,7.916134783,4.695725331,8.411065288,7.680382455,5.610483153,4.855312063,8.490269506,7.989680095,3.208469501,6.798007174,11.32089293,5.715200741,4.121236793,3.596510777,3.092287703,3.063192859,5.713112342,3.718379181,8.113683003,10.3789749,6.476067292,10.67918849,7.923869541,5.633467407,7.7489188,8.982004554,5.888914112,6.816357766,5.751439285,2.990065951,3.448787699,2.496478658,5.084358949,6.405649854,3.004463915,8.652420464,"HEALTHY"
"GSM712496",7.363230835,8.105274946,7.897606856,10.87063731,9.685862791,10.17158686,9.175239918,6.955554969,6.009026429,9.79848373,10.88586565,6.539865833,13.07934006,13.24691665,4.986222175,6.760127959,3.164678303,9.801612272,5.19813708,10.64019509,8.444132555,4.420685682,9.560652052,4.61048304,8.850401851,10.02852704,10.99924061,2.976896533,6.298221904,9.40999022,5.506141843,6.28002832,4.761722533,8.666698721,4.15035332,6.399190856,5.048821928,6.992396714,5.131377164,6.054114024,3.700083044,2.961599276,6.360991917,6.364719016,3.988365147,2.791764085,11.62546344,11.59005537,4.408466667,4.196027066,8.935462354,7.674445794,4.186557554,3.799923347,7.533404144,4.448313953,4.262913478,9.22025769,11.32169115,5.48571526,3.336104185,8.482929041,4.115992639,7.66462699,4.498842544,8.409715231,6.66903639,3.010191076,4.990462228,8.087825612,7.068270646,3.071511743,6.842012186,11.38987607,5.58802603,4.521699346,3.732825698,3.118681831,2.895586752,5.517793177,3.347066803,8.290537582,9.769434955,5.643568243,10.70631045,7.718305991,5.943328647,7.772652925,8.846734364,5.83181907,5.866033299,6.05131859,2.867499402,3.709995657,2.402729173,3.975687165,6.077993491,3.063936767,8.345009292,"HEALTHY"
"GSM712497",6.758195056,7.826422576,7.981953167,11.27445478,9.624469516,10.24290154,9.001318095,6.683621882,5.530123287,9.790655035,10.79029333,6.076778398,13.61416335,13.62965721,4.73636325,7.109644192,3.269364051,9.973402036,5.212423867,10.60595945,7.586578609,4.83223885,9.479887112,4.362955847,9.265690059,10.91871729,10.5697475,3.55957359,5.64162744,9.730035867,4.990743945,5.777131658,4.878052989,9.013868583,3.943989224,6.281430945,4.896487593,5.839679943,5.569900688,5.541018653,3.440782405,3.046429383,6.292615016,5.468294492,3.911656224,2.661391191,11.76062592,11.42681477,3.959340007,4.258812593,8.508866119,8.198213259,4.466174719,3.598096236,6.999101279,4.434683719,4.463757426,8.546065125,11.30884941,4.881172047,3.047667776,8.763265013,4.08578756,7.361802639,4.651037829,7.800467324,6.274929977,3.277580749,4.92411792,7.700197751,8.156082244,3.200671039,6.562608849,11.62601073,5.691766729,3.937343021,3.96250123,3.516074067,3.187378059,5.339538118,3.60562671,8.028033858,10.18560197,5.320157369,10.22133869,6.356752248,5.548223949,6.852924654,9.067193242,5.773267801,5.792515016,6.051563789,2.90757389,3.893384096,2.637844336,4.459644734,5.4421842,2.914828546,7.948101323,"HEALTHY"
