"GSM712478","GSM712479","GSM712480","GSM712481","GSM712482","GSM712483","GSM712484","GSM712485","GSM712486","GSM712487","GSM712488","GSM712489","GSM712490","GSM712491","GSM712492","GSM712493","GSM712494","GSM712495","GSM712496","GSM712497","GSM712498","GSM712499","GSM712500","GSM712501","GSM712502","GSM712503","GSM712504","GSM712505","GSM712506","GSM712507","GSM712508","GSM712509","GSM712510","GSM712511","GSM712512","GSM712513","GSM712514","GSM712515","GSM712516","GSM712517","GSM712518","Gene.Symbol"
10.53550862,10.99263319,11.56011327,11.1767473,11.21485698,11.84774556,9.99869547,11.10423855,11.83353927,11.4129114,10.76153881,11.15902768,10.85671906,10.81317205,11.2712664,10.80554599,10.3633119,11.24586978,10.88586565,10.79029333,9.665201627,11.35416414,10.02869302,10.83808806,11.09248944,10.72773708,10.32198323,10.44380623,10.72401856,10.47177663,11.59577305,11.37575856,11.02974974,11.67151589,10.97715798,12.30521038,12.58060543,10.40004879,10.99575597,10.92932358,11.17046484,"TNFSF10"
5.38204641,5.849441557,4.202517149,4.165948724,4.703069863,4.782959918,3.921782937,5.512064235,5.571461606,6.434095541,5.728343318,6.675775371,6.338532315,7.319135854,5.218636847,6.837143942,6.052272765,6.07533996,6.539865833,6.076778398,7.205886537,8.224937539,6.209025337,6.525610332,6.236861179,7.150351494,5.594176231,6.641074033,5.719978476,4.386054435,4.914817549,5.96941463,8.034961283,5.688187062,8.832132645,6.344638744,6.237165909,4.804501232,6.253430446,7.168775521,4.67474752,"CXCL8"
14.57218634,14.61797872,14.87156084,14.96349114,14.87849314,14.78135527,14.8718833,14.75218854,14.9047125,14.75506996,13.17944334,13.49012903,13.22633241,13.73184959,13.49598796,13.59754545,12.67990724,13.73779648,13.07934006,13.61416335,13.60777652,14.14356827,12.70334468,13.57686404,13.76832956,13.8572536,13.90276158,13.73895793,13.86582564,12.96419214,14.40979449,14.67898609,13.78559312,14.63493532,14.52375944,14.11042184,14.56130423,13.46192136,14.77337418,14.44702052,13.95196298,"S100A8"
14.18840078,14.30590219,15.0456709,15.01536689,14.87369375,14.83450348,14.80074715,14.75496818,15.16443478,14.63960655,13.23919736,13.74613338,13.47970515,13.48976442,13.5704193,13.44358539,12.94046892,13.52886281,13.24691665,13.62965721,13.30875739,13.89015237,12.99773218,13.34005422,13.38786034,13.21530642,13.37453033,13.38204849,13.59839951,13.17852879,14.15753855,14.2597436,13.6440024,14.61745161,14.11270754,13.5391379,14.21900364,13.64291388,14.49817793,14.4175069,14.00375289,"S100A9"
5.246070863,4.937480552,4.449626869,4.924283605,4.394437031,4.680941176,4.64613181,4.910419594,4.373676638,4.856651469,5.019773035,4.955428956,5.015594233,5.133171504,4.872351104,4.848501663,4.960834361,5.109122404,4.986222175,4.73636325,5.459286071,4.737399498,4.675461143,5.101662663,4.904868716,4.924283605,4.904522092,5.005644214,5.126008746,5.154813409,4.794379343,4.705649673,5.175535638,4.70315925,5.071490542,5.00170651,4.72416751,5.028052732,4.441028524,5.052349958,5.029406265,"BCL2"
6.36445649,6.877371327,5.317843884,4.747839674,5.33378182,4.113467173,4.690240022,6.605604548,6.194621782,6.904862606,7.487582772,7.561757526,7.593295052,7.456791671,7.020844561,7.448106274,7.796196048,7.180547329,6.760127959,7.109644192,7.931280158,7.65709351,7.505992836,7.263698863,6.838155371,7.367530892,6.680529291,6.621376754,6.562587065,6.534499446,5.48765269,6.760127959,7.509335312,4.404522036,7.226873971,6.274549112,5.877604557,5.723414547,5.234233342,5.692340688,5.635971738,"BCL2"
3.530091859,3.235864726,3.31607128,3.376805895,3.269364051,3.360908667,3.464153303,3.36353339,3.374641959,3.463138511,3.387603795,3.00959558,3.213931288,2.914343248,3.187597551,3.237885269,3.137103709,3.123440894,3.164678303,3.269364051,3.391811466,2.99353657,3.169830206,3.499348115,3.194135218,3.296407938,3.269364051,3.534402536,3.49762654,3.39254829,3.606112509,3.303530995,3.116940685,3.376454365,3.139698253,3.525254449,3.256318553,3.623175402,3.156302534,3.338471336,3.646597636,"VCAM1"
10.18386441,9.990131344,12.92389019,14.10174394,12.85639682,11.6878684,13.31926041,12.28326557,11.76933088,12.53645062,9.433336545,10.7346828,10.06093273,8.924525199,9.67607499,8.26977529,8.212823223,10.09133283,9.801612272,9.973402036,10.02849505,9.563717274,9.448044777,8.409782092,10.03755236,9.276973441,8.822019351,9.746551476,9.997729908,8.437429431,11.56535972,11.37759001,10.47091917,13.51114167,12.50422927,8.201236392,10.40857468,11.65607053,12.35639294,13.31458086,12.73433476,"MMP9"
5.560857312,5.826629553,5.198420485,5.050615573,4.807415995,5.903799285,5.156338658,5.258081457,5.264133383,4.788056567,5.196384814,5.065482981,5.112955384,5.090984347,5.033122704,5.13793949,4.979044251,5.219402029,5.19813708,5.212423867,5.01685588,5.104959159,4.877558491,5.195519538,5.333765581,4.998674113,5.467430614,5.227964676,4.711883356,4.970383588,5.195519538,5.195519538,5.172755841,4.725316278,5.368354703,7.391755984,6.56853973,5.195519538,5.000416128,4.94972863,5.00170651,"CXCL10"
10.10416208,10.29371221,11.12122848,11.39758952,12.01685835,11.8405672,10.31132696,10.99369877,10.98315944,10.30680199,9.894841393,10.62824791,10.67401467,10.51937918,10.53310252,10.64488258,10.52605927,10.81998798,10.64019509,10.60595945,9.6194232,11.05181489,10.36603631,10.52130254,10.55151268,9.655241979,9.490087278,9.972513696,10.17024382,10.01123245,11.67499804,11.20518055,11.00365824,12.30797803,10.90490322,10.75083171,11.92788276,11.6241131,11.97502202,12.84828287,12.94767582,"TLR2"
8.258180107,8.510495879,7.157139804,6.832822639,8.287966737,9.162430359,6.978892372,7.960576975,6.337129734,7.249116954,7.839126782,8.252933988,8.161934568,8.328075828,8.290509858,7.89428796,8.071194294,8.681090651,8.444132555,7.586578609,7.598880052,8.358274827,8.089313985,8.180857559,8.086607209,7.682540013,6.896440162,7.831278844,7.785521152,7.362630061,8.641829325,8.167360177,8.502449218,8.392308878,9.384997865,8.341550546,8.977686448,6.631616206,8.501531432,7.709577746,8.381284173,"IL1B"
4.600832008,4.807770744,4.831096771,4.769848802,4.279324375,4.902934796,4.752896811,4.705583726,4.566412155,4.458063871,4.523768688,4.536606557,4.368112715,4.575839532,4.191380559,4.44750352,4.699579994,4.534491382,4.420685682,4.83223885,4.779472353,4.467007602,4.532491086,4.546129105,4.871757161,4.382665153,5.034770481,4.624472218,4.606937764,4.304934336,4.418034143,4.283177617,4.50809456,4.195273057,4.850606621,4.629951643,4.463998458,4.589343043,4.741452746,4.559168348,4.754612364,"IL6"
9.096980624,9.410430051,13.04722109,13.98435812,13.91331369,13.17240638,13.72149444,12.33634666,13.83410961,11.70956223,8.863804163,9.722373406,9.317414467,9.007147299,9.243186412,9.100141768,8.935408702,9.578361399,9.560652052,9.479887112,9.087050637,9.625806286,8.870499976,9.434467966,9.186980166,9.079852258,8.71749411,9.575069431,9.436846853,9.016486014,11.22120877,11.07858612,9.711822798,13.837072,10.40848295,8.324017221,11.96368122,12.05067909,13.18733762,13.61312353,12.85531284,"IL1R2"
4.479628829,4.038228085,4.111953012,4.547660301,4.494177729,4.386051098,4.756745659,4.537171065,4.298230351,4.301928862,4.090484457,4.300909271,4.06011657,4.171666876,4.059053932,4.298230351,4.026686922,4.076823892,4.61048304,4.362955847,4.468117442,3.832371553,3.945695167,4.23314302,4.332823884,4.374566269,4.282898728,4.369070555,4.580662864,4.130960608,4.582983521,4.316150066,4.087704908,4.30817854,4.26359253,4.715205473,4.010690636,4.560396088,4.334774162,4.192868179,4.610949988,"CRP"
