"Sample","PLAUR","P2RX7","ICAM1","HIF1A","MMP9","OLFM4","GATA3","CCL2","CALCA","IFNG","MAPK14","IL1R2","MMP8","ARG1","CCR2","TNFSF10","TREM1","IL1B","CCR7","LBP","CCL25","CRP","IL6","IL10","TLR4","TLR2","S100A8","LCN2","NOTCH1","FCGR1A","VCAM1","NLRP3","S100A9","S100A12","PTX3","CX3CR1","CXCL10","CXCL8","ITGAM","CD14","BCL2","IFNB1","C3AR1","CCL19","MYD88","SOCS3","IFNA2","PDCD1","HMGB1","C5AR1","ELANE","IFNA1","HLA-DRA","CD177","TNF","Label"
"sepwes034",6.18982455887999,7.74819284958946,7.22881869049587,9.54303182025524,6.6147098441152,10.2252074369435,6.53915881110802,-145.229715551925,-145.229715551925,-145.229715551925,9.66355810421726,5.95419631038686,10.3162815317462,6.91886323727459,10.1935253605012,10.3966047811818,6.70043971814107,6.72792045456319,9.25974326369078,-145.229715551925,-145.229715551925,-145.229715551925,-145.229715551925,-145.229715551925,9.42626475470209,9.85642552862552,11.502334580198,10.1085244567782,6.80735492205761,8.3037807481771,-145.229715551925,7.26678654069491,14.5539292242808,10.5745935273376,2.32192809488737,9.68999797141944,3.80735492205758,1,9.76155123244448,9.11113567023472,8.85798099512755,-145.229715551925,8.98299357469432,-145.229715551925,9.97727992349991,8.82336724004622,-145.229715551925,2,9.42626475470209,8.56224242422107,6.44294349584871,-145.229715551925,11.2957689344205,9.88111396067509,4.24792751344359,"sepsis"
"sepwes036",9.30149619498255,8.62935662007959,8.98013957763916,10.5868397879618,9.82336724004622,2.58496250072116,8.87651694656498,1,-145.253992466279,1.58496250072113,10.8454900509444,8.66888498426624,5.95419631038686,6,10.0940776856719,10.9314762338868,10.7756102807595,8.75488750216346,9.67419226814567,-145.253992466279,-145.253992466279,-145.253992466279,1,-145.253992466279,11.2155329997456,11.2691266791494,10.9722618487333,6.22881869049587,9.76155123244448,8.03342300153744,1.58496250072113,8.37068740680721,13.9115792414021,9.83289001416475,3.80735492205758,11.89633240391,2.58496250072116,4.85798099512758,11.3145832442742,10.5430318202552,9.58120058192495,-145.253992466279,9.17741953798924,-145.253992466279,11.4299297413533,8.18487534290827,-145.253992466279,4.24792751344359,9.65105169117894,11.8435285346111,0,-145.253992466279,12.8097681287104,6.84549005094436,5.64385618977471,"sepsis"
"sepwes038",10.6969675262343,9.35974956032234,9.60177078840769,12.661778097772,8.89481776330794,5.80735492205761,6.75488750216346,7.78790255939143,-145.247325433363,3.16992500144229,13.3735449032244,10.0633950812885,7.67242534197149,7.12928301694495,11.0620461377205,15.222757174994,12.3278332967503,11.9229559919085,8.23840473932506,-145.247325433363,2.32192809488737,-145.247325433363,-145.247325433363,-145.247325433363,13.2654685427991,13.3462366913902,13.4632689159813,6.93073733756287,10.5284541107648,10.6803595235137,-145.247325433363,9.15481810905209,15.5354272696354,10.6257088430645,5.97727992349991,11.6965329140783,8.67242534197149,4.39231742277877,12.0430272835945,11.140829770773,7.91288933622997,-145.247325433363,11.4701504352743,-145.247325433363,12.7607199474656,12.4377520723236,-145.247325433363,1.58496250072113,9.26912667914942,12.4648009816554,1,-145.247325433363,12.8587580999354,10.1836353814732,6.4093909361377,"sepsis"
"sepwes039",8.80735492205761,7.99435343685886,9.24079133216196,11.6266216523584,13.7024973851023,9.95710204156228,7.74146698640115,-145.254049373434,-145.254049373434,3.32192809488737,12.775198728898,11.7456743240021,14.1618404565131,10.0874628412503,10.0056245491939,12.2182604987973,10.140829770773,9.40514146313635,10.4604558963096,-145.254049373434,-145.254049373434,-145.254049373434,-145.254049373434,1.58496250072113,11.667111542075,11.9147588389419,16.5437719543587,12.1085244567782,9.74315139411249,10.4868350215631,2,9.17242750864548,17.8750953740555,14.9485497472457,3.32192809488737,11.2997804028585,2.58496250072116,1.58496250072113,13.344434621924,11.680799034573,10.2620948453702,-145.254049373434,8.32642948712231,-145.254049373434,11.8692082505508,11.2106713437856,-145.254049373434,4.32192809488737,10.5555477716471,12.2937590096679,0,-145.254049373434,13.9170923157241,15.6851320318511,5.97727992349991,"sepsis"
"sepwes040",10.7448338374996,8.35755200461807,9.86108690599539,11.7862696276485,9.17242750864548,6.42626475470209,7.67948009950544,5.85798099512758,-145.253824478043,2.80735492205758,12.5999128421871,9.61654884377899,9.08214904135386,6.58496250072116,9.54882190845873,13.8487207336875,12.1392315707193,10.9578275608337,8.86418614465427,-145.253824478043,-145.253824478043,-145.253824478043,-145.253824478043,-145.253824478043,12.4413880293467,13.3318966370935,13.1297659813106,8.24792751344359,10.590587049915,9.89935692292309,1.58496250072113,9.15481810905209,15.4927294677096,10.5497846679478,5.24792751344359,11.6816776552097,6.50779464019868,4.70043971814107,11.9776376904059,11.4115109880121,9.04439411935846,-145.253824478043,11.5901191741072,-145.253824478043,12.5745935273376,10.7747870596012,-145.253824478043,4.39231742277877,9.37068740680721,12.8643796261862,2.80735492205758,-145.253824478043,11.7026056021103,12.6858438114261,6.44294349584871,"sepsis"
"sepwes041",9.50183718490229,7.6147098441152,8.26209484537017,10.9657842846621,12.0751448440663,1.58496250072113,6.88264304936183,0,-145.251265588771,1.58496250072113,11.7784878612224,10.6393407086522,3.80735492205758,9.51963625284321,10.5840229402575,11.6156296369681,10.7607199474656,8.32192809488737,8.95128471496696,-145.251265588771,-145.251265588771,-145.251265588771,1,0,12.0105281058865,12.8655399707857,13.5233169123127,2.80735492205758,10.2227949028681,6.44294349584871,0,8.10852445677816,15.3288852582783,10.8841705191084,4.08746284125033,9.99293833616582,0,6.82017896241518,11.6960981709559,10.2094533656289,8.72451385311993,-145.251265588771,7.91886323727459,-145.251265588771,11.211888294546,8.54689445988762,-145.251265588771,3,10.1848753429083,12.116993677547,2,-145.251265588771,12.3955341354623,7.98868468677216,4.85798099512758,"sepsis"
"sepwes043",9.85486838326023,8.87958324961278,10.298062567719,11.0748104611604,11.0687782779854,9.74651432113845,7.52356195605699,1.58496250072113,-145.250255290835,3,12.7219536128014,12.3255865452106,12.0811505212719,8.35755200461807,10.380461065089,12.8249587405285,10.3630396302565,10.7347096202258,6.39231742277875,-145.250255290835,0,-145.250255290835,-145.250255290835,1,12.2491134527137,12.7404132320333,14.3355299275708,10.6873756834375,9.87498134765377,12.194449079479,3.32192809488737,8.31741261376484,16.8696540827902,13.5117526537674,5,11.0063260785249,4.80735492205758,-145.250255290835,12.3241805466187,11.8443134612033,7.62935662007962,-145.250255290835,11.3140167039014,-145.250255290835,12.55818151986,12.0094787458881,-145.250255290835,5.58496250072116,9.82654848729089,11.9943534368589,7.49984588708321,-145.250255290835,12.4795276692564,14.9168591378146,6.02236781302844,"sepsis"
"sepwes044",9.07146236255662,8.22400167419809,8.63299519714295,10.5660540381711,9.27379559921425,4.4594316186373,8.22400167419809,2.32192809488737,-145.245719782015,5.39231742277875,10.7590559391602,8.65105169117894,5.83289001416475,7.41785251488591,9.49185309632966,12.211888294546,10.5097750043269,9.5352753766208,8.18982455888002,-145.245719782015,-145.245719782015,-145.245719782015,-145.245719782015,-145.245719782015,11.1130909834424,11.2784494582205,13.9413227635379,6.20945336562895,8.90989308377002,8.19967234483636,1.58496250072113,7.88264304936183,15.4093246342906,10.3264294871223,3.9068905956085,11.5608104687279,5.04439411935846,4.32192809488737,10.3331553503106,10.1959872980285,8.16490692667568,-145.245719782015,9.0552824355012,-145.245719782015,11.1984450414523,8.18982455888002,-145.245719782015,5.04439411935846,10.7557221536423,11.2992080183873,-145.245719782015,-145.245719782015,12.5812005819249,8.52747700606039,4.24792751344359,"sepsis"
"sepwes046",8.37068740680721,7.15987133677839,8.03891898929228,10.1176431013891,8.76487159073608,8.6582114827518,7.24792751344359,1.58496250072113,-145.247415879302,2.32192809488737,10.5488219084587,8.43462822763672,9.64024493622233,7.52356195605699,9.39231742277875,11.5741204350097,10.1019756709492,9.04439411935846,9.24792751344359,-145.247415879302,-145.247415879302,-145.247415879302,-145.247415879302,-145.247415879302,11.1842554954054,10.8879821330584,13.1267044728432,9.63662462054364,8.6073303137496,7.97727992349991,-145.247415879302,6.80735492205761,14.523194374831,10.1137421660492,4.75488750216348,9.74651432113845,4.58496250072116,5.83289001416475,9.96578428466208,8.86418614465427,8.87651694656498,-145.247415879302,8.16992500144232,-145.247415879302,10.3869402453243,8.12928301694495,-145.247415879302,2.32192809488737,10.1736771363034,10.6411485974112,3.9068905956085,-145.247415879302,11.4257404243162,7.03342300153744,4.58496250072116,"sepsis"
"sepwes047",8.9915218460757,6.06608919045777,9.63843591399046,12.1108095268986,12.6199906626064,9.04984854945056,5.12928301694495,-145.242306613188,-145.242306613188,-145.242306613188,13.1231514327736,11.8610869059954,11.8548683832602,10.677719641641,8.26678654069488,12.2790301364496,10.4040771362412,10.7540523675289,8.18982455888002,0,-145.242306613188,-145.242306613188,0,-145.242306613188,13.5032046095404,13.2018176166679,15.0026392379595,9.86418614465427,9.60917873814196,9.69522829149574,-145.242306613188,9.01680828768656,16.1490524330442,13.1011549786005,4.16992500144229,8.53138146051631,2.32192809488737,7.85798099512758,11.9454438363779,9.93221475196839,6.56985560833093,-145.242306613188,10.8399910705399,-145.242306613188,11.2934716488381,11.2197735508929,-145.242306613188,0,9.52160043972373,11.2161395564251,-145.242306613188,-145.242306613188,10.7287708495427,10.8749813476538,5.16992500144229,"sepsis"
"sepwes049",8.80413102118331,7.58496250072113,8.09275714091984,9.60547951806166,9.0084286220706,5,7.71424551766611,1.58496250072113,-145.247372014918,2.58496250072116,10.6064052126978,7.14974711950467,5.20945336562895,5.35755200461807,9.91886323727459,11.4382720561248,9.04165915163722,7.6147098441152,9.2807707701306,-145.247372014918,-145.247372014918,-145.247372014918,-145.247372014918,-145.247372014918,10.0901124196643,10.2312211807112,11.5107641679179,5.97727992349991,8.8008998999203,8.62570884306447,2.80735492205758,7.56224242422107,13.7361905009609,9.35974956032234,3,10.7984718011016,6.33985000288462,0,10.4807902010958,9.96000193206808,8.6147098441152,-145.247372014918,8.89178370321829,-145.247372014918,10.7279204545632,7.55458885167764,-145.247372014918,4.70043971814107,9.69870466677034,10.3498340914572,2.80735492205758,-145.247372014918,12.3709597932974,8.13442632022094,5.24792751344359,"sepsis"
"sepwes051",10.1085244567782,9.1006623390052,10.1686721181322,10.868822554775,8.6073303137496,3.58496250072116,6.47573343096639,-145.246305778522,-145.246305778522,1.58496250072113,11.7976615258538,9.52160043972373,6.93073733756287,7.12928301694495,10.1459321458205,12.9355334129507,10.0168082876866,10.5764843467968,8.48381577726425,-145.246305778522,-145.246305778522,-145.246305778522,0,-145.246305778522,12.1013191544233,12.4312364120711,14.006676715309,5.97727992349991,9.84392105128902,11.4548133485125,-145.246305778522,7.48381577726425,15.4422955886025,11.6211361132746,2.58496250072116,10.8073549220576,7.4594316186373,5.75488750216346,11.3575520046181,9.16490692667568,7.7210991887072,-145.246305778522,10.0484868739923,-145.246305778522,11.7274950690254,8.71080643369936,-145.246305778522,1,10.0834793273318,11.7138160802345,1,-145.246305778522,12.9950604670327,8.56224242422107,5.72792045456319,"sepsis"
"sepwes052",11.2191685204621,8.11894107272349,11.1567151442247,11.192909219112,10.7992816215219,7.14974711950467,7.02236781302844,-145.240641298661,-145.240641298661,-145.240641298661,12.7425199716613,11.654636028528,7.94836723158468,9.06069593168755,9.35535109642481,12.8509681509825,12.3359485652023,11.1337844091799,7.88874324889824,-145.240641298661,-145.240641298661,-145.240641298661,-145.240641298661,-145.240641298661,13.0784844174115,13.3734089602287,13.526988205432,8.34429590791581,10.8548683832602,11.5493033685136,-145.240641298661,8.24792751344359,15.7280799418088,11.9851303734669,4.9068905956085,9.96866679319521,3.80735492205758,4.52356195605702,12.6064052126978,10.960725994839,7.22881869049587,-145.240641298661,8.7210991887072,-145.240641298661,12.1247675358225,10.2395985292491,-145.240641298661,3.16992500144229,9.19475685442225,13.0301498249257,3.99999999999997,-145.240641298661,11.5603328342124,9.07414146275249,4.58496250072116,"sepsis"
"sepwes056",9.02236781302844,7.45121111183232,9.72621815933218,10.5679560754155,11.3619437737352,9.95564990752837,4.39231742277877,-145.241325519374,-145.241325519374,2.32192809488737,11.8967108157261,13.3644082813798,11.6174674652942,9.88569637333939,8.73470962022583,11.6479080742818,9.14465824283189,9.73978060977328,7.49984588708321,-145.241325519374,-145.241325519374,-145.241325519374,0,-145.241325519374,11.5569849575945,12.5198819224974,14.6748543079466,10.0014081943928,8.42626475470209,10.4978518369511,-145.241325519374,6.68650052718323,16.1966021265231,12.7071434019809,5.08746284125033,10.0953970227926,3.16992500144229,4.95419631038686,11.3971398062356,9.69870466677034,5.42626475470209,-145.241325519374,11.3880172853451,-145.241325519374,11.2957689344205,9.87805091272853,-145.241325519374,2,9.35093918154644,10.9751314569213,3.99999999999997,-145.241325519374,11.5068034377956,12.9647018574204,5.16992500144229,"sepsis"
"sepwes058",6.84549005094436,7.3037807481771,6.44294349584871,9.06339508128852,6.08746284125033,2.80735492205758,7.7004397181411,-145.242567335896,-145.242567335896,0,9.11634396123748,6.28540221886226,5.16992500144229,6.3037807481771,9.52943055414616,9.85953478638265,8.03891898929228,6.08746284125033,8.46760555008299,-145.242567335896,-145.242567335896,-145.242567335896,2,-145.242567335896,9.27612440527423,9.62935662007959,10.9203528554151,5.85798099512758,7.06608919045777,6.75488750216346,1,7.01122725542325,13.2685420003001,9.12412131182919,3.58496250072116,10.3685064615077,3.32192809488737,-145.242567335896,9.71080643369936,9.31514956225629,8.04439411935846,0,7.49185309632966,-145.242567335896,9.8008998999203,6.56985560833093,-145.242567335896,2.80735492205758,9.8376279331714,8.6865005271832,-145.242567335896,-145.242567335896,12.3202364452416,8.59245703726808,4.08746284125033,"sepsis"
"sepwes059",8.83289001416472,7.99435343685886,9.50779464019871,12.4900987548842,15.2157225761038,13.2203783276952,6.47573343096639,3,4.4594316186373,2.32192809488737,13.2366122002157,13.4088604360248,15.2397103964256,10.9439799143437,11.199058823653,11.2191685204621,10.0660891904578,10.1649069266757,9.70908381255032,1.58496250072113,-145.252639946447,-145.252639946447,1.58496250072113,-145.252639946447,12.1443395912478,12.297489501161,15.927847391962,12.3548003443506,9.88874324889827,8.90086680798072,-145.252639946447,9.91438513215545,17.2905948880826,14.3907063728728,7.01122725542325,9.67419226814567,2,5.97727992349991,13.4428139376751,11.6402449362224,8.82017896241518,-145.252639946447,10.2761244052742,-145.252639946447,11.6289011520282,11.7907557501183,-145.252639946447,2.58496250072116,10.4040771362412,12.2440664641948,4.95419631038686,-145.252639946447,12.4923539451599,14.1405102723682,6.32192809488734,"sepsis"
"sepwes060",7.49984588708321,7.14974711950467,8.12412131182919,11.0881256921882,10.2502984179063,5.75488750216346,3.9068905956085,1,-145.234790648606,-145.234790648606,11.9751314569213,11.8595347863827,11.0728025345442,8.77148946950061,9.29232163280204,11.8536994203002,9.19229281447076,8.79441586635011,4.95419631038686,-145.234790648606,-145.234790648606,-145.234790648606,0,-145.234790648606,12.225508720236,12.1570310743784,13.6383227747487,7.72792045456319,8.06608919045777,10.3420746679991,-145.234790648606,6.89481776330794,15.4616712822763,12.1487943214243,3,7.74146698640115,4.08746284125033,3.16992500144229,10.8265484872909,7.82017896241518,4.80735492205758,-145.234790648606,9.45532722030455,-145.234790648606,10.3094763538411,11.2508905357233,-145.234790648606,1,8.54303182025524,9.55458885167764,0,-145.234790648606,10.4988492065317,12.3583764803282,2.58496250072116,"sepsis"
"sepwes061",6.75488750216346,4.85798099512758,5.83289001416475,7.7210991887072,12.2769967392971,7.90086680798075,2.80735492205758,-145.228373829783,-145.228373829783,-145.228373829783,9.53138146051629,9.11894107272352,11.7976615258538,9.25266543245024,7.82017896241518,8.75488750216346,7.46760555008299,5.32192809488734,3.32192809488737,-145.228373829783,-145.228373829783,-145.228373829783,-145.228373829783,-145.228373829783,8.7004397181411,8.48381577726425,13.9526502569912,11.8494051009477,7.06608919045777,7.23840473932506,-145.228373829783,6,15.5753324236615,12.0970444993229,5.39231742277875,7.6147098441152,0,1,10.2419831496943,10.3014961949825,3.4594316186373,-145.228373829783,7.55458885167764,-145.228373829783,9.44708322620966,7.3037807481771,-145.228373829783,-145.228373829783,7.62935662007962,9.78463484555752,7.73470962022583,-145.228373829783,9.28771237954945,12.2161395564251,3.4594316186373,"sepsis"
