"X.VCAM1.","X.0.952900044053041.","X.0.971858807858808.","X.0.996875.","X.0.957142857142857.","X.0.99125.","X.0.990714285714286.","X.0.966856060606061."
"ARG1","0.969612317258418","0.981512820512821","0.998125","0.967142857142857","0.99875","0.99875","0.974666666666667"
"CCR2","0.969879886912709","0.981564102564103","0.998660714285714","0.971428571428571","0.995","0.995","0.978444444444444"
"TNFSF10","0.958400322328042","0.975076923076923","0.997142857142857","0.962857142857143","0.99125","0.99125","0.971555555555556"
"TREM1","0.973549313061964","0.983794871794872","0.999285714285714","0.972857142857143","0.9975","0.9975","0.979333333333333"
"IL1B","0.9603311666842","0.977201465201465","0.997767857142857","0.97","0.9875","0.986964285714286","0.97625"
"CCR7","0.971053876773461","0.983102564102564","0.998214285714286","0.98","0.98875","0.98875","0.984666666666667"
"LBP","0.956895740760222","0.975186813186813","0.998392857142857","0.97","0.98375","0.983571428571429","0.976527777777778"
"CCL25","0.959735459890284","0.976153846153846","0.997589285714286","0.968571428571429","0.9875","0.9875","0.976"
"CRP","0.95084032981984","0.970315018315018","0.9975","0.955714285714286","0.99","0.989821428571429","0.966305555555556"
"IL6","0.95315789772779","0.972007326007326","0.997410714285714","0.957142857142857","0.99125","0.991071428571429","0.966972222222222"
"IL10","0.963341032867858","0.978076923076923","0.998571428571429","0.965714285714286","0.99375","0.99375","0.973555555555556"
"TLR4","0.958604038810653","0.974820512820513","0.998214285714286","0.962857142857143","0.99125","0.99125","0.972"
"TLR2","0.956891177048726","0.974545787545788","0.997678571428571","0.962857142857143","0.99","0.989821428571429","0.971194444444444"
"S100A8","0.972074312188794","0.983282051282051","0.998214285714286","0.971428571428571","0.9975","0.9975","0.977777777777778"
"LCN2","0.958183745829847","0.975417582417582","0.998125","0.965714285714286","0.98875","0.988571428571429","0.973416666666667"
"NOTCH1","0.953544749350468","0.972487179487179","0.998928571428571","0.965714285714286","0.98375","0.98375","0.974"
"FCGR1A","0.960683745829847","0.976750915750916","0.997410714285714","0.965714285714286","0.99125","0.991071428571429","0.973416666666667"
