"Removed_Column","Avg_Accuracy","SD_Accuracy","Avg_Sensitivity","SD_Sensitivity","Avg_Specificity","SD_Specificity","Avg_F1_Score","SD_F1_Score","Avg_MCC","SD_MCC"
"PDCD1",0.975,0.0418765756358005,0.99875,0.0125,0.9275,0.124595304482111,0.98240522875817,0.0292470140538116,0.945139856137946,0.0919887949160708
"HMGB1",0.976666666666667,0.0411670381258886,1,0,0.93,0.123501114377666,0.983660130718954,0.028610446617828,0.948608290063328,0.0906893466682863
"C5AR1",0.9725,0.0427961393100227,0.99875,0.0125,0.92,0.127525002500005,0.980640522875817,0.0299060279329223,0.939634753565778,0.0940298499674231
"ELANE",0.971666666666667,0.0446648574938899,0.99875,0.0125,0.9175,0.133214909530473,0.980117647058824,0.0310386352874234,0.937794343076837,0.0981740882777904
"IFNA1",0.974166666666667,0.042201948880802,0.99875,0.0125,0.925,0.125629726907402,0.981816993464052,0.0294801812770045,0.943304821947223,0.0927108365651898
"P2RX7",0.975,0.0435194139889245,1,0,0.925,0.130558241966773,0.982549019607843,0.0300888160153335,0.944932845383665,0.09588459875241
"ICAM1",0.970833333333333,0.0449076243529766,0.99625,0.0214308259997207,0.92,0.132382976720017,0.979372549019608,0.031428384985904,0.936362577798241,0.0982598915902059
"HLA.DRA",0.974166666666667,0.0438325939946097,0.9975,0.0175881617670362,0.9275,0.129563174403903,0.981803921568628,0.0305506656483822,0.943501080105069,0.0960799602493522
"CD177",0.975,0.0418765756358005,0.9975,0.0175881617670362,0.93,0.123501114377666,0.982326797385621,0.0293689557370942,0.945341490594009,0.0917256898765551
"HIF1A",0.973333333333333,0.0425083341666683,1,0,0.92,0.127525002500005,0.981307189542484,0.0295821156204212,0.941268153300437,0.093640890711184
"MMP9",0.974166666666667,0.0438325939946097,0.99875,0.0125,0.925,0.130558241966773,0.981882352941176,0.030434820350281,0.943299445649005,0.09632728217484
"OLFM4",0.975,0.0435194139889245,1,0,0.925,0.130558241966773,0.982549019607843,0.0300888160153335,0.944932845383665,0.09588459875241
"PLAUR",0.973333333333333,0.0441276589066723,1,0,0.92,0.132382976720017,0.981372549019608,0.0305346701371748,0.941262777002219,0.0972226329980573
"TNF",0.971666666666667,0.0462086712848137,1,0,0.915,0.138626013854441,0.980261437908497,0.031843530118321,0.937587332322556,0.101818454011935
"GATA3",0.976666666666667,0.0394263011338864,0.99875,0.0125,0.9325,0.1170718073697,0.983516339869281,0.0277296123373704,0.948815300817609,0.086551156129367
"CCL2",0.975,0.0418765756358005,1,0,0.925,0.125629726907402,0.982483660130719,0.0291243484700959,0.944938221681882,0.0922507044018724
"CALCA",0.9725,0.0459575146603885,1,0,0.9175,0.137872543981165,0.980849673202614,0.0316570008718985,0.939422366513279,0.101266145794629
"IFNG",0.968333333333333,0.047051086212804,0.9975,0.0175881617670362,0.91,0.139985569241831,0.977751633986928,0.0326688989747314,0.930650464471792,0.10326185037336
"MAPK14",0.9675,0.0472222222222222,0.9975,0.0175881617670362,0.9075,0.140593079991208,0.97716339869281,0.0327935984411414,0.928815430281069,0.10364678658219
"IL1R2",0.9725,0.0427961393100227,0.99875,0.0125,0.92,0.127525002500005,0.980640522875817,0.0299060279329223,0.939634753565778,0.0940298499674231
"MMP8",0.968333333333333,0.0455358420021662,0.9975,0.0175881617670362,0.91,0.135400640077266,0.977686274509804,0.0317728554139539,0.93065584077001,0.0998974526761235
"ARG1",0.97,0.0466618564139438,1,0,0.91,0.139985569241831,0.979084967320261,0.0321807819553811,0.93391726394111,0.102814979352277
"CCR2",0.971666666666667,0.0430657368216431,0.99625,0.0214308259997207,0.9225,0.126605846642406,0.979895424836601,0.0303233254626527,0.938202988287182,0.094147706694108
"TNFSF10",0.968333333333333,0.047051086212804,0.9975,0.0175881617670362,0.91,0.139985569241831,0.977751633986928,0.0326688989747314,0.930650464471792,0.10326185037336
"TREM1",0.973333333333333,0.0441276589066723,0.99875,0.0125,0.9225,0.131497781983829,0.981294117647059,0.0306488202901631,0.941464411458283,0.0969818718048068
"IL1B",0.975,0.0401666003045123,0.99875,0.0125,0.9275,0.119420951412906,0.982339869281046,0.0282534895122149,0.945145232436164,0.088194514151703
"CCR7",0.973333333333333,0.0408248290463863,0.9975,0.0175881617670362,0.925,0.120499800913537,0.981084967320261,0.0288399510574239,0.941676798510782,0.0893945618595007
"LBP",0.974166666666667,0.0438325939946097,1,0,0.9225,0.131497781983829,0.981960784313725,0.0303183274722697,0.943097811192942,0.0965735454801943
"CCL25",0.975,0.0435194139889245,0.99875,0.0125,0.9275,0.129563174403903,0.982470588235294,0.0302077367985114,0.945134479839728,0.0956326533950294
"CRP",0.973333333333333,0.0441276589066723,1,0,0.92,0.132382976720017,0.981372549019608,0.0305346701371748,0.941262777002219,0.0972226329980573
"IL6",0.975833333333333,0.0415317681607036,0.9975,0.0175881617670362,0.9325,0.12234555301863,0.982915032679739,0.029124499591079,0.947176524784732,0.0909543354737196
"IL10",0.9725,0.044404969843491,0.99875,0.0125,0.92,0.132382976720017,0.980705882352941,0.0308500088940449,0.93962937726756,0.0975972279221701
"TLR4",0.973333333333333,0.0425083341666683,0.99875,0.0125,0.9225,0.126605846642406,0.981228758169935,0.0296997527488923,0.9414697877565,0.0933908845384766
"TLR2",0.969166666666667,0.0468643599970693,0.9975,0.0175881617670362,0.9125,0.139330107255678,0.978339869281046,0.0325329800338469,0.932485498662515,0.102842405592253
"S100A8",0.971666666666667,0.0446648574938899,1,0,0.915,0.13399457248167,0.980196078431373,0.0309289376507495,0.937592708620774,0.0984043370144857
"LCN2",0.973333333333333,0.0456896277894895,0.99875,0.0125,0.9225,0.136214143646293,0.981359477124183,0.0315692322838133,0.941459035160065,0.100444559555288
"NOTCH1",0.971666666666667,0.0462086712848137,0.99875,0.0125,0.9175,0.137872543981165,0.980183006535948,0.031950249806933,0.937788966778619,0.101595953823414
"FCGR1A",0.964166666666667,0.0462617716387031,0.995,0.0246182981958665,0.9025,0.13713795310496,0.974588235294118,0.0324777915541388,0.921883938728523,0.101154964199525
